,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
19.52538462,0,0,0,2.109508313,0,0,1.931650602,0,0,0,0,0,0,0,1.897346227,2.159732288,1.967001599,1.972662448,2.622935384,0,0,0,1.005531906,0,2.119199869,1.535172057,0,1.893696761,1.24634693,1.948436892,1.360276892,2.122798421,1.646569349,0,0,0,1.829244666,0,0,2.685656274,1.913922452,0,0,0,1.822402288,0,0,0,0,0,0,0.946549235,0,0,1.867538974,1.868983929,1.926217984,2.049505719,1.971255049,2.018154605,1.861803606,0,0,1.48093407,0,2.077213509,0,0,1.580426155,1.893759699,2.019586361,1.11589143,1.985949867,0,0,1.725758486,0,2.159910068,0,1.947776316,0,1.728079512
20.361875,1.596596562,0.84991929,0,0,0,0,0,0.892823088,0,0,0,0,0.847684851,0,0,0,0.396085039,0.330785666,0,0.550205365,0,0.598436462,0,1.673147537,0,0,0.769375085,0,2.54527279,0.241550921,0,0,0.920703437,2.95819184,0,0.431236925,0.516967921,0,0,0,0.502750377,0,0,0,0,0.810806402,0,0,0.556567916,0,0,0,0.724866547,0.484874433,0,0,0,0.548503906,0.383890986,0,0,1.306728082,0.717847605,0,0,0,0,0.887397508,0,3.065015907,0,0,1.02058251,1.244600475,1.571340173,0,0.449258544,0.722061348,0,0,0,0
21.405,0,0,0,1.804373591,0,0,0,0,1.558470757,0,0,0.586124548,0,0,1.490135355,1.779720223,1.785289619,1.702202714,1.538370109,0,0.33830705,0,0,0,1.757362283,0,0,1.412009994,1.079103989,1.71098859,0,0.974474526,1.140555329,0.956139062,0,1.030375514,1.477253398,0,0,0,1.358044301,0,0,0,1.157761159,0,0,0,0.380520185,1.980005522,0,0,0,0,0,1.57933353,1.31246879,1.687015252,1.580362921,0,0,0,0,0,0,1.771864658,0,0,0.996922203,1.584214019,1.58052667,0.813257942,1.363924887,2.207788928,1.189854358,0.607641413,1.019748098,1.759935295,0,0,0,1.265933499
26.78859155,2.759917359,2.179580492,0,2.656643337,0,0,2.306852601,3.799041925,0,3.109058586,2.447375883,1.05499244,1.842019352,2.632527797,3.332346878,1.374971022,2.338556137,2.998787787,1.988324506,1.509044619,0.834972986,2.864681137,3.129307317,1.169964499,0.611167957,1.035818911,0.889894084,3.658563405,1.251737043,0.910970097,3.864600587,2.647692486,0,1.417663618,2.894780784,2.805088219,3.499159561,2.3425864,0,0,2.022494152,3.856113204,2.270758692,2.96314412,2.224787257,3.02618563,2.378720674,2.24848466,2.731877492,3.059765103,2.910582306,1.896107855,1.631636021,3.498330013,2.56197958,2.532661782,0,0.473753981,1.49925104,3.145718698,0,1.16113196,2.319424906,2.003906694,2.596751461,1.938885297,2.102899449,3.386785641,3.786262899,0,1.928856008,4.233518958,2.650776458,0.237777192,1.445350945,3.256986549,4.016765788,2.994262154,2.853500693,2.722258848,0,1.442108107
33.63655172,2.650322966,0,0,0,0,2.437315961,0,0,0,1.966136673,1.778587669,0,0,0,0,1.489088799,0,0,0,2.205521531,1.62439435,0,1.197444181,2.505111843,1.056914947,0,1.536494507,0,0,1.505576194,0,2.047416015,1.185042165,0,0,1.797799974,0,0,0,0,0,1.936881167,0,2.737558779,0,0,0,0,1.522110566,0,0,0,0,0,1.981680691,0,1.188357809,0,1.478951152,1.515758435,0,0,0,0.772039191,0,0.533398929,0,1.782545559,0,0,0,0,0,1.244592625,1.960224209,0.823417376,0,1.787470372,0,0,0,0
