"","x"
"1",0.0300678461927596
"2",0.0241931016703563
"3",0.0206971502669687
"4",0.0196509610481037
"5",0.0189486794385043
"6",0.0167125077148321
"7",0.0166992313907802
"8",0.0148293059101266
"9",0.014404002921937
"10",0.0133015755799005
"11",0.0128882719809933
"12",0.0126661176175463
"13",0.0120803692520459
"14",0.0118069238230262
"15",0.0112888323897761
