"locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se" "locnum" "cormean" "corsd" "se"
"X22" 22 0.26428254179921 0.10171116641951 0.0158846154858129 22 0.28268067356238 0.0993900252209758 0.0155221141329632 22 0.0854514462519804 0.0818237482729073 0.0127787225796063 22 0.059124145342891 0.0884785026441862 0.0138180206042135 22 0.0589710722198322 0.0631942994479287 0.00986929147469809
"X23" 23 0.273588730549926 0.087849741888709 0.0137198246717027 23 0.293171111449644 0.097868012490761 0.0152844156792432 23 0.0816728042819672 0.0830210615197796 0.0129657114935294 23 0.075163641005509 0.0833554172189573 0.0130179290808789 23 0.0488407464865678 0.0683623908987361 0.010676411758355
"X24" 24 0.275354391884334 0.0932045203756619 0.0145561005720904 24 0.292893793780185 0.11750667451644 0.0183514594062524 24 0.105717541595268 0.0935805546291495 0.0146148272560565 24 0.0727151675240946 0.0899739088996176 0.014051563824676 24 0.0610966344466361 0.0616594229627455 0.00962958403997267
"X25" 25 0.278223554287898 0.086621975119913 0.0135280797166981 25 0.307808018054824 0.0841590869191439 0.0131434412012729 25 0.103057465337323 0.0893557150337059 0.0139550181630601 25 0.0587172096301635 0.0810882579218427 0.0126638582846477 25 0.0702084262570283 0.0573559759095546 0.0089574985245874
"X26" 26 0.290421245824859 0.0696008358016861 0.0108698243577405 26 0.331127966296388 0.0800059812270638 0.0124948350618197 26 0.0992959573656219 0.0824947986140565 0.0128835230358002 26 0.0683311749182195 0.0786944006525382 0.0122900005894761 26 0.0776708668589846 0.061805231226133 0.00965235546498034
"X27" 27 0.29059341341979 0.0774371206038866 0.0120936464345307 27 0.32315514496207 0.0778789380413512 0.0121626467258075 27 0.0856429060364209 0.0809019458704342 0.0126347612306941 27 0.067163566740431 0.0856172593967595 0.0133711694825845 27 0.0663263326319381 0.0546516312063445 0.00853515083884356
"X28" 28 0.295138086673039 0.0742056862514089 0.0115889811754081 28 0.322356842612363 0.0895280277337233 0.013981928885643 28 0.0931725837564519 0.0747987533795999 0.0116816026998702 28 0.0737514572497613 0.074196744452907 0.0115875847010981 28 0.0681395745402208 0.0529005795787898 0.00826168251890718
"X29" 29 0.299337058931332 0.067457717045044 0.0105351254393417 29 0.333307361667572 0.0787592863918164 0.0123001340394721 29 0.0960058434644301 0.0591424367741869 0.0092364968382838 29 0.0824893921034902 0.0694917312794202 0.0108527850940592 29 0.0769312404031369 0.0510187154258587 0.00796778471478061
"X30" 30 0.313654416507297 0.0650119646677831 0.0101531630899368 30 0.325169283467265 0.080421960183552 0.012559800060321 30 0.0921627557284899 0.0686749795304188 0.0107252299008885 30 0.0785532006723989 0.0696530147892021 0.0108779733465124 30 0.0743164811752347 0.0531067763808565 0.00829388504917532
"X31" 31 0.311507408441433 0.0627378144003098 0.00979800048756554 31 0.333868971380161 0.0695631533747761 0.0108639393513729 31 0.112162176567013 0.0675416128221233 0.0105482277584547 31 0.0750452761437737 0.0695426785599132 0.0108607417225118 31 0.0736854834317289 0.0474089124658617 0.00740402820684125
"X32" 32 0.313717287615816 0.0619084954929771 0.00966848263400205 32 0.334197691223468 0.068284632636178 0.0106642679579734 32 0.102085348874763 0.0586368378377112 0.00915753555036752 32 0.078528480726842 0.0643030763167145 0.0100424533293914 32 0.0883104373538578 0.0507126759935973 0.0079199893853581
"X33" 33 0.319055419932164 0.0573169394289655 0.00895140205056292 33 0.343492224493082 0.0675453780746705 0.0105488157921095 33 0.107710761957086 0.0696529180524067 0.0108779582387632 33 0.079065204517578 0.0616405954092596 0.00962664367011761 33 0.089882284115742 0.0421126054731639 0.00657688401967471
"X34" 34 0.319511130089252 0.0509831019279878 0.00796222282084411 34 0.355448998342896 0.0537264917031016 0.00839066832235035 34 0.0968781869188781 0.0513738767377598 0.0080232515929375 34 0.082994534831507 0.0587841953903224 0.00918054893370151 34 0.0780186633304656 0.04068869576867 0.00635450668453421
"X35" 35 0.320667210799859 0.0477868878895848 0.00746305805066554 35 0.364126291999486 0.0517652031505378 0.00808436651094741 35 0.107509451869349 0.0488818127684953 0.00763405658799041 35 0.0732105559386041 0.0457183932484564 0.00714001346111409 35 0.09356020898979 0.034314364863036 0.00535900344747854
"X36" 36 0.324906864582057 0.0418130890805264 0.00653010741788921 36 0.352627909347928 0.0488887747255335 0.00763514386301118 36 0.112913598284691 0.0447004690009273 0.00698104040205984 36 0.0862077116005268 0.0454660374084821 0.00710060210025074 36 0.0974859505541183 0.0398322127244921 0.00622074650553113
"X37" 37 0.335892387560796 0.0418553776226533 0.00653671177859795 37 0.363960871525147 0.0425250506815511 0.00664129713944147 37 0.101480963575027 0.0389785499226032 0.00608742677437578 37 0.0785047853503679 0.041606671093924 0.00649787034440003 37 0.0911585005670632 0.0311470117042904 0.00486434598944748
"X38" 38 0.331561971209658 0.0343775931137604 0.00536887804125181 38 0.368841931849382 0.0346963171917372 0.00541865437951391 38 0.109897554565473 0.0358444628769603 0.00559796461037138 38 0.0783382315967422 0.0335212816290517 0.00523514465533643 38 0.0987710918166956 0.0275868658051923 0.00430834461151303
"X39" 39 0.341416370583942 0.0287790943842092 0.00449453943372921 39 0.372319671192534 0.0275248262252849 0.0042986556569329 39 0.11289680341717 0.0325010507178822 0.00507581135594405 39 0.0801360422636211 0.0268846880234263 0.00419868286582004 39 0.0963945527575534 0.0220599233948919 0.00344518122355474
"X40" 40 0.342039496467462 0.0186190213014091 0.00290780259932515 40 0.37296084680423 0.0215655928234503 0.00336797975859616 40 0.109424361973632 0.0208360900677997 0.00325405056893811 40 0.0847424348710117 0.0204165671132962 0.00318853209093466 40 0.103093522303589 0.0176810025813215 0.00276130868708713
"X41" 41 0.344850561883434 0 0 41 0.375622255990619 0 0 41 0.112782150504214 0 0 41 0.0865036450048579 0 0 41 0.104018275488541 0.00702318651978817 0.00109683745924067
