Volatile,Av.Abund,Av.Sim,Contrib%,Cum.%
15.74189873,0.85,1.13,2.25,67.29
21.49741935,0.72,1.11,2.22,69.51
12.39705882,0.61,1.06,2.11,71.61
22.77,0.52,1.02,2.03,73.65
8.860384615,0.82,1,1.99,75.63
36.17,0.55,0.99,1.98,77.61
27.68736842,0.59,0.95,1.9,79.51
21.70509091,0.67,0.95,1.9,81.41
19.97275862,0.52,0.93,1.85,83.26
13.79688889,0.78,0.92,1.83,85.09
18.22447368,0.57,0.89,1.77,86.85
20.36305556,0.46,0.86,1.71,88.56
13.73048387,0.46,0.83,1.66,90.22
19.72264368,3.28,8.93,14.59,14.59
19.40104478,2.19,6.07,9.92,24.51
19.52512821,1.53,4.18,6.83,31.34
37.57885714,1.42,3.46,5.66,37
30.79641026,1.18,3.24,5.29,42.29
33.6159434,1.28,3.19,5.22,47.5
21.40527778,1.23,3.11,5.09,52.59
21.35028571,1.2,2.98,4.87,57.46
36.88736842,1.03,2.52,4.12,61.59
36.07631579,0.81,1.84,3,64.59
10.1842623,0.84,1.82,2.98,67.57
26.78810811,1.04,1.8,2.95,70.52
12.9677027,0.78,1.71,2.79,73.31
22.77,0.66,1.66,2.71,76.02
19.62022727,0.53,1.38,2.26,78.28
21.12938462,0.54,1.22,1.99,80.27
13.79688889,0.5,1.15,1.89,82.16
37.07866667,0.68,1.14,1.86,84.01
15.74189873,0.52,1.13,1.84,85.85
24.42878378,0.44,1.1,1.8,87.65
21.5754717,0.47,1.05,1.72,89.37
17.42294118,0.47,1.02,1.66,91.04
15.4573494,1.73,3.65,16.21,16.21
19.72264368,1.62,3.03,13.43,29.63
20.51714286,0.95,2.17,9.62,39.25
21.5754717,0.99,2.12,9.39,48.65
17.39323529,0.66,1.41,6.26,54.91
14.6987037,0.68,1.4,6.22,61.12
19.21025,0.59,1.32,5.86,66.99
19.66487179,0.77,1.29,5.72,72.71
12.9677027,1.08,1.16,5.14,77.85
20.80285714,0.55,1.14,5.08,82.93
24.42878378,1.15,1.09,4.82,87.75
16.28636364,0.42,0.91,4.03,91.78
26.78810811,3.13,10.4,19.42,19.42
19.72264368,2.63,8.15,15.21,34.64
19.40104478,1.75,5.73,10.71,45.34
10.1842623,1.36,4.48,8.36,53.7
12.9677027,1.34,4.46,8.34,62.04
8.902068966,1.3,4.44,8.28,70.32
33.6159434,1.22,3.56,6.64,76.96
19.52512821,1.27,3.52,6.57,83.53
24.42878378,1.08,3.12,5.83,89.36
21.35028571,0.93,2.31,4.31,93.66
19.40104478,2.68,6.17,12.62,12.62
19.72264368,2.1,4.55,9.31,21.93
10.1842623,1.64,4.02,8.22,30.15
38.48852941,1.62,3.75,7.67,37.82
19.52512821,1.55,3.73,7.64,45.46
12.9677027,1.48,3.31,6.78,52.24
26.78810811,1.82,2.73,5.58,57.83
33.6159434,1.39,2.68,5.49,63.32
24.42878378,1.04,2.36,4.82,68.14
11.94558824,0.98,2.24,4.58,72.72
21.35028571,0.87,2.1,4.29,77.01
11.0476087,0.92,2,4.09,81.1
36.8526087,0.88,1.97,4.04,85.14
15.50897436,0.8,1.93,3.96,89.1
15.4573494,0.9,1.92,3.92,93.02
19.40104478,2.7,8.01,16.77,16.77
19.72264368,2.36,6.94,14.52,31.28
15.4573494,2.24,6.62,13.86,45.14
12.9677027,2.11,5.91,12.36,57.5
10.1842623,2.09,5.8,12.14,69.64
8.902068966,1.94,4.95,10.36,80
15.50897436,1.73,4.9,10.26,90.26
19.40104478,2.78,6.3,13.35,13.35
15.4573494,2.23,5.3,11.24,24.6
19.72264368,2.03,3.7,7.84,32.43
16.39651163,1.33,2.98,6.32,38.76
12.9677027,1.19,2.6,5.51,44.27
36.07631579,1.15,2.52,5.33,49.6
21.5754717,1.04,1.94,4.11,53.72
16.46627907,0.78,1.91,4.04,57.76
11.815,0.78,1.88,3.99,61.75
37.04571429,0.9,1.67,3.54,65.29
17.39323529,0.61,1.26,2.66,67.95
14.6987037,0.52,1.25,2.65,70.6
15.5952,0.55,1.23,2.6,73.2
19.62022727,0.68,1.15,2.43,75.63
13.86263158,0.53,1.11,2.35,77.98
21.12938462,0.62,1.1,2.34,80.31
15.74189873,0.45,1.08,2.28,82.59
19.66487179,0.58,1.07,2.27,84.86
16.28636364,0.48,1.07,2.27,87.13
15.2085,0.46,1.05,2.23,89.36
17.9565,0.45,1.03,2.18,91.54
15.4573494,2.16,4.72,9.31,9.31
8.795652174,1.74,3.82,7.54,16.85
26.78810811,1.65,3.77,7.43,24.28
19.40104478,1.52,3.28,6.46,30.74
17.42294118,2.02,3.12,6.16,36.9
19.72264368,1.36,2.93,5.78,42.68
16.39651163,1.16,2.39,4.7,47.39
12.9677027,1.06,2.34,4.62,52
8.958333333,0.95,2.12,4.18,56.18
10.1842623,0.92,1.8,3.54,59.73
15.5952,0.79,1.56,3.09,62.81
9.757314815,0.68,1.48,2.92,65.73
15.74189873,1.54,1.4,2.76,68.5
10.468,0.63,1.39,2.74,71.23
30.51451613,0.65,1.38,2.72,73.95
11.6084375,0.6,1.29,2.53,76.49
21.5754717,0.54,1.21,2.38,78.87
20.51714286,0.63,1.09,2.15,81.01
14.6987037,0.53,1.06,2.1,83.11
17.9565,0.44,0.91,1.8,84.91
19.21025,0.45,0.91,1.8,86.71
19.66487179,0.49,0.89,1.76,88.47
20.84142857,0.43,0.86,1.7,90.17
19.72264368,3.28,8.3,20.4,20.4
19.40104478,2.41,5.54,13.62,34.02
19.52512821,1.52,3.8,9.34,43.35
21.35028571,1.25,3.19,7.84,51.2
21.40527778,1.28,3.14,7.71,58.9
22.77,0.85,2.07,5.08,63.98
10.1842623,0.73,1.63,4,67.98
8.902068966,0.67,1.35,3.32,71.3
30.84,0.47,1.16,2.86,74.16
12.9677027,0.58,1.16,2.84,77
24.42878378,0.82,1.14,2.81,79.81
19.62022727,0.65,1.11,2.74,82.55
21.12938462,0.57,1.1,2.7,85.25
21.5754717,0.55,0.86,2.11,87.36
15.50897436,0.44,0.82,2.01,89.38
21.70509091,0.34,0.75,1.84,91.22
26.78810811,2.47,6.19,11.38,11.38
11.6084375,2.32,5.54,10.17,21.56
10.1842623,1.78,4.66,8.56,30.12
12.9677027,1.74,4.44,8.16,38.28
19.72264368,1.77,4.22,7.76,46.04
19.40104478,1.56,4.01,7.36,53.41
13.79688889,2.06,3.57,6.55,59.96
17.42294118,1.56,2.76,5.06,65.03
13.73048387,1,2.61,4.8,69.82
15.74189873,1.75,2.61,4.79,74.61
20.27125,0.91,2.3,4.23,78.84
11.94558824,0.94,2.26,4.15,82.99
38.514,1.31,2.23,4.1,87.09
15.50897436,1.03,2.1,3.86,90.95
35.83032258,3.2,6.33,11.77,11.77
20.36305556,1.79,2.84,5.28,17.05
19.72264368,1.24,2.59,4.82,21.87
21.09315789,1.22,2.39,4.44,26.32
26.78810811,1.05,2.19,4.08,30.39
30.79641026,1.03,2.01,3.73,34.13
36.10466667,1.2,2,3.71,37.84
16.46627907,0.91,1.89,3.52,41.36
36.88736842,1.03,1.72,3.2,44.57
24.42878378,0.9,1.61,3,47.57
8.902068966,0.76,1.47,2.74,50.3
21.40527778,0.76,1.37,2.56,52.86
21.70509091,0.76,1.37,2.55,55.41
20.44666667,0.64,1.2,2.23,57.65
18.22447368,0.58,1.14,2.13,59.77
21.49741935,0.61,1.03,1.91,61.69
15.74189873,0.42,0.87,1.61,63.3
23.51777778,0.82,0.84,1.56,64.86
19.86129032,0.48,0.8,1.49,66.35
20.17782609,0.39,0.79,1.47,67.82
37.04571429,0.59,0.73,1.36,69.18
21.21318182,0.43,0.7,1.31,70.49
14.0576,0.4,0.68,1.27,71.76
22.77,0.51,0.68,1.26,73.02
9.701666667,0.33,0.64,1.2,74.22
10.891,0.53,0.64,1.19,75.41
23.07818182,0.34,0.62,1.15,76.56
24.67055556,0.34,0.61,1.14,77.69
29.02571429,0.26,0.57,1.06,78.76
23.2525,0.79,0.57,1.05,79.81
20.51714286,0.25,0.53,0.99,80.8
22.9775,0.35,0.53,0.98,81.78
19.21025,0.27,0.5,0.93,82.72
19.97275862,0.23,0.47,0.88,83.59
24.59083333,0.24,0.46,0.86,84.46
9.757314815,0.25,0.46,0.85,85.31
27.68736842,0.2,0.45,0.84,86.15
22.16166667,0.55,0.42,0.78,86.93
16.28636364,0.2,0.41,0.75,87.68
13.79688889,0.18,0.4,0.74,88.42
14.25,0.19,0.38,0.71,89.13
15.29666667,0.17,0.35,0.65,89.78
13.86263158,0.35,0.35,0.64,90.43
19.40104478,3,8.35,17.77,17.77
33.6159434,1.97,5.76,12.25,30.02
36.8526087,1.69,5.19,11.05,41.07
36.07631579,1.64,4.6,9.79,50.86
15.4573494,1.45,4.23,9,59.86
19.72264368,1.32,4.14,8.8,68.66
8.795652174,2.03,4.1,8.72,77.37
12.9677027,0.99,2.53,5.39,82.76
16.39651163,1.07,2.48,5.27,88.03
24.42878378,1.25,2.21,4.71,92.74
