Volatile,Av.Abund,Av.Sim,Contrib%,Cum.%
10.1842623,0.87,2.18,4.92,68.85
21.35028571,0.89,1.96,4.41,73.26
21.40527778,0.86,1.93,4.35,77.61
19.62022727,0.46,1.16,2.61,80.22
22.77,0.45,0.93,2.09,82.31
11.94558824,0.45,0.92,2.07,84.38
15.50897436,0.38,0.92,2.07,86.45
21.49741935,0.32,0.9,2.03,88.49
13.73048387,0.34,0.88,1.98,90.47
35.83032258,3.37,9.53,19.04,19.04
31.4190566,2.47,6.47,12.92,31.96
26.78810811,2.26,4.4,8.78,40.74
19.40104478,1.95,4.22,8.43,49.17
37.57885714,1.3,3.71,7.41,56.58
33.645,1.33,3.68,7.34,63.92
36.88736842,1.03,2.99,5.98,69.9
15.4573494,1.36,2.53,5.05,74.95
19.72264368,0.71,1.94,3.88,78.82
10.1842623,0.72,1.82,3.63,82.45
12.9677027,0.84,1.55,3.09,85.54
16.39651163,0.59,1.39,2.78,88.32
20.51714286,0.5,1.23,2.45,90.77
19.72264368,2.6,6.7,25.5,25.5
24.42878378,2.28,4.73,17.98,43.48
31.4190566,1.83,3.31,12.6,56.08
11.285,1.09,2.87,10.91,67
21.40527778,1.16,2.66,10.1,77.1
21.35028571,1.09,2.42,9.21,86.31
18.005,0.94,2.04,7.77,94.08
8.118666667,2.84,6.59,14.08,14.08
15.4573494,2.07,6.11,13.06,27.14
26.78810811,1.66,4.89,10.45,37.59
19.40104478,1.53,4.61,9.84,47.43
19.72264368,1.46,4.17,8.91,56.34
16.39651163,1.23,3.7,7.9,64.24
33.6159434,1.17,3.42,7.3,71.55
12.9677027,1.22,3.39,7.25,78.8
20.51714286,0.6,1.77,3.79,82.58
38.514,0.88,1.72,3.68,86.27
13.73048387,0.63,1.61,3.44,89.71
14.6987037,0.67,1.6,3.42,93.13
31.4190566,2.23,5.77,9.99,9.99
15.4573494,1.97,5.3,9.17,19.16
19.40104478,2.38,5.25,9.08,28.23
37.57885714,1.98,4.98,8.62,36.86
19.72264368,1.52,3.87,6.7,43.56
33.645,1.49,3.85,6.65,50.21
16.39651163,1.3,3.58,6.2,56.41
