,M33,M43,M23,M36,M37,M5,P10,M2,P25,M17,P26,M10,P9,M31,M48,P35,P17,P31,P36,P29,P19,P27,P6,M35,M6,P45,M40,P15,P33,P39,P48,M45,M29,M18,M44,P2,P38,M15,P12,P20,M7,P24,P43,P41,P16,P37,M4,P3,P8,M30,M26,P7,M39,P21,P4,M28,P18,P47,P5,P46,M27,M46,M20,M47,M16,P30,M38,P40,P28,M24,M3,M19,P44,M25,M41,M14,M8,P23,M21,P14,M9,M12
M38,34.86238532,35.41666667,30.25210084,39.28571429,35.8490566,35.05154639,36.14457831,26,36.11111111,25,28.94736842,36.55913978,42,51.96850394,27.18446602,70.10309278,40.50632911,59.13043478,58.25242718,31.85840708,40.77669903,30.3030303,43.29896907,51.11111111,30.58823529,25.85034014,34.42622951,23.25581395,32.55813953,41.50943396,25.92592593,35.29411765,21.21212121,55.42168675,33.33333333,9.836065574,63.55140187,19.35483871,60.55045872,29.41176471,43.47826087,39.6039604,37.36263736,44.18604651,29.78723404,39.58333333,24.61538462,27.16049383,22.58064516,55.31914894,36.14457831,36.84210526,67.96116505,54.71698113,31.88405797,23.00884956,39.47368421,35.05154639,30.37974684,23.94366197,31.46067416,21.05263158,43.07692308,32.35294118,52.38095238,51.06382979,,,,,,,,,,,,,,,,
P40,26.92307692,43.95604396,14.03508772,23.31288344,43.56435644,47.82608696,28.20512821,21.05263158,29.85074627,23.88059701,36.61971831,40.90909091,44.21052632,32.78688525,38.7755102,39.13043478,21.62162162,41.81818182,28.57142857,31.48148148,26.53061224,48.93617021,36.95652174,35.29411765,15,23.94366197,41.02564103,46.91358025,27.41935484,28.57142857,27.18446602,30.53435115,25.19685039,35.8974359,53.16455696,25,43.1372549,42.10526316,34.61538462,34.92063492,37.5,29.16666667,41.86046512,54.32098765,23.52941176,52.74725275,43.33333333,44.73684211,28.07017544,33.70786517,51.28205128,50.70422535,38.7755102,39.6039604,46.875,37.03703704,39.43661972,41.30434783,54.05405405,26.27737226,50,26.5625,40,38.0952381,35.44303797,47.19101124,30.58823529,,,,,,,,,,,,,,,
P28,27.02702703,38.7755102,18.18181818,27.05882353,44.44444444,50.50505051,32.94117647,21.56862745,35.13513514,29.72972973,33.33333333,48.42105263,41.17647059,32.55813953,36.19047619,32.32323232,37.03703704,39.31623932,34.28571429,33.04347826,32.38095238,41.58415842,44.44444444,39.13043478,20.68965517,21.47651007,37.09677419,36.36363636,22.90076336,26.08695652,25.45454545,33.33333333,23.88059701,37.64705882,46.51162791,31.74603175,34.86238532,37.5,37.83783784,48.57142857,33.8028169,31.06796117,43.01075269,61.36363636,20.97902098,48.97959184,41.79104478,48.19277108,34.375,41.66666667,47.05882353,41.02564103,43.80952381,35.18518519,47.88732394,40,46.15384615,40.4040404,49.38271605,25,46.15384615,28.14814815,41.79104478,34.28571429,41.86046512,37.5,34.7826087,48.27586207,,,,,,,,,,,,,,
M24,53.42465753,27.06766917,42.30769231,39.02439024,34.96503497,23.88059701,26.66666667,37.95620438,23.85321101,18.34862385,23.00884956,29.23076923,29.19708029,41.46341463,50,32.8358209,24.13793103,38.15789474,25.71428571,52,44.28571429,29.41176471,29.85074627,31.49606299,39.3442623,39.13043478,42.7672956,35.77235772,61.44578313,50,45.51724138,32.3699422,52.07100592,23.33333333,28.09917355,12.24489796,40.27777778,14.14141414,34.24657534,24.76190476,18.86792453,53.62318841,28.125,34.14634146,62.92134831,31.57894737,17.64705882,27.11864407,14.14141414,33.58778626,26.66666667,23.00884956,42.85714286,40.55944056,20.75471698,24,28.31858407,32.8358209,31.03448276,56.98324022,31.74603175,55.29411765,23.52941176,22.85714286,28.09917355,36.64122137,31.49606299,24.59016393,32.55813953,,,,,,,,,,,,,
M3,21.27659574,39.50617284,13.46153846,16.99346405,37.36263736,48.7804878,35.29411765,16.47058824,28.07017544,31.57894737,36.06557377,33.33333333,37.64705882,32.14285714,29.54545455,36.58536585,34.375,36,25,30.6122449,25,28.57142857,36.58536585,32,14.28571429,18.18181818,35.51401869,47.88732394,22.80701754,20.83333333,27.95698925,23.14049587,22.22222222,29.41176471,63.76811594,34.7826087,30.43478261,59.57446809,36.17021277,49.05660377,29.62962963,27.90697674,47.36842105,53.52112676,20.63492063,51.85185185,52,54.54545455,38.29787234,30.37974684,41.17647059,45.90163934,36.36363636,32.96703297,55.55555556,28.57142857,36.06557377,46.34146341,62.5,20.47244094,45.94594595,23.72881356,40,37.73584906,26.08695652,32.91139241,26.66666667,48.57142857,51.94805195,23.21428571,,,,,,,,,,,,
M19,45,21.76870748,32.94117647,39.26940639,28.02547771,22.97297297,23.88059701,29.13907285,24.3902439,14.63414634,17.32283465,27.77777778,19.86754967,33.70786517,42.85714286,32.43243243,20,34.93975904,25.97402597,45.12195122,38.96103896,24,29.72972973,31.20567376,26.47058824,35.35353535,38.15028902,30.65693431,56.66666667,50.47619048,47.79874214,26.73796791,56.83060109,23.88059701,29.62962963,12.5,35.44303797,15.92920354,33.75,23.52941176,16.66666667,52.63157895,26.76056338,32.11678832,66.66666667,25.85034014,18.96551724,18.18181818,12.38938053,33.10344828,26.86567164,20.47244094,38.96103896,33.12101911,21.66666667,23.17073171,23.62204724,22.97297297,27.69230769,50.77720207,28.57142857,45.65217391,22.4137931,23.52941176,25.18518519,35.86206897,28.36879433,26.47058824,26.57342657,62.92134831,23.80952381,,,,,,,,,,,
P44,28.57142857,54.34782609,20.86956522,24.3902439,49.01960784,55.91397849,40.50632911,27.08333333,38.23529412,20.58823529,44.44444444,38.20224719,52.08333333,37.39837398,40.4040404,47.31182796,26.66666667,45.04504505,34.34343434,36.69724771,34.34343434,42.10526316,47.31182796,39.53488372,17.28395062,29.37062937,47.45762712,48.7804878,33.6,33.5483871,34.61538462,37.87878788,29.6875,40.50632911,67.5,28.07017544,48.54368932,44.82758621,41.9047619,46.875,36.92307692,41.2371134,62.06896552,60.97560976,29.19708029,58.69565217,45.90163934,51.94805195,37.93103448,40,60.75949367,47.22222222,46.46464646,39.21568627,55.38461538,38.53211009,47.22222222,55.91397849,61.33333333,31.88405797,56.47058824,31.00775194,42.62295082,50,32.5,57.77777778,41.86046512,61.72839506,54.54545455,32.5203252,61.97183099,30.65693431,,,,,,,,,,
M25,32,34.48275862,18.18181818,25.1572327,28.86597938,34.09090909,48.64864865,15.38461538,47.61904762,28.57142857,32.8358209,40.47619048,39.56043956,37.28813559,31.91489362,54.54545455,37.14285714,47.16981132,51.06382979,25,31.91489362,33.33333333,45.45454545,49.38271605,23.68421053,24.63768116,28.31858407,33.76623377,28.33333333,32,26.26262626,25.19685039,17.88617886,56.75675676,40,19.23076923,48.97959184,26.41509434,44,44.06779661,40,39.13043478,41.46341463,49.35064935,25.75757576,36.7816092,39.28571429,30.55555556,30.18867925,49.41176471,45.94594595,41.79104478,46.80851064,47.42268041,43.33333333,19.23076923,47.76119403,36.36363636,40,21.05263158,37.5,19.35483871,60.71428571,50.84745763,50.66666667,54.11764706,56.79012346,42.10526316,40.96385542,27.11864407,30.3030303,31.81818182,49.35064935,,,,,,,,,
M41,41.66666667,59.81308411,21.53846154,27.93296089,64.95726496,55.55555556,42.55319149,21.62162162,40.96385542,28.91566265,36.7816092,55.76923077,52.25225225,44.92753623,45.61403509,38.88888889,31.11111111,47.61904762,38.59649123,38.70967742,36.84210526,54.54545455,48.14814815,49.5049505,25,39.24050633,49.62406015,57.73195876,32.85714286,37.64705882,40.33613445,40.81632653,36.36363636,40.42553191,50.52631579,22.22222222,44.06779661,35.61643836,40,37.97468354,30,42.85714286,50.98039216,61.8556701,30.26315789,57.94392523,34.21052632,45.65217391,35.61643836,41.9047619,53.19148936,48.27586207,40.35087719,51.28205128,47.5,43.5483871,48.27586207,53.7037037,51.11111111,35.29411765,64,40.27777778,42.10526316,48.10126582,33.68421053,53.33333333,35.64356436,60.41666667,46.60194175,34.7826087,41.86046512,35.52631579,57.73195876,41.30434783,,,,,,,,
M14,26.37362637,33.33333333,13.86138614,16,27.27272727,30.37974684,36.92307692,9.756097561,40.74074074,40.74074074,34.48275862,34.66666667,31.70731707,23.85321101,35.29411765,27.84810127,42.62295082,30.92783505,23.52941176,27.36842105,28.23529412,34.56790123,43.03797468,33.33333333,23.88059701,12.40310078,25,44.11764706,25.22522523,19.85815603,28.88888889,16.94915254,26.31578947,36.92307692,48.48484848,18.60465116,33.70786517,45.45454545,28.57142857,60,43.1372549,36.14457831,35.61643836,44.11764706,24.3902439,33.33333333,38.29787234,41.26984127,40.90909091,39.47368421,36.92307692,37.93103448,37.64705882,31.81818182,43.1372549,21.05263158,51.72413793,27.84810127,45.90163934,16.12903226,45.07042254,17.39130435,51.06382979,44,33.33333333,34.21052632,27.77777778,38.80597015,37.83783784,27.52293578,45.61403509,24.3902439,41.17647059,41.26984127,40.96385542,,,,,,,
M8,14.45783133,25.71428571,6.451612903,14.08450704,27.5,30.98591549,31.57894737,10.81081081,34.7826087,34.7826087,28,32.8358209,29.72972973,15.84158416,18.18181818,33.8028169,33.96226415,22.47191011,25.97402597,13.79310345,20.77922078,32.87671233,33.8028169,37.5,16.94915254,11.57024793,25,30,11.65048544,13.53383459,14.63414634,14.54545455,11.32075472,35.0877193,37.93103448,11.42857143,22.22222222,38.88888889,24.09638554,52.38095238,41.86046512,18.66666667,30.76923077,36.66666667,12.17391304,34.28571429,46.15384615,36.36363636,44.44444444,32.35294118,38.59649123,40,23.37662338,27.5,41.86046512,22.98850575,40,25.35211268,33.96226415,8.620689655,34.92063492,11.21495327,51.28205128,38.0952381,31.03448276,29.41176471,31.25,37.28813559,39.39393939,13.86138614,36.73469388,17.39130435,33.33333333,50.90909091,29.33333333,43.47826087,,,,,,
P23,46.15384615,29.37062937,65.06024096,44.65116279,36.60130719,37.5,24.61538462,47.61904762,20.16806723,18.48739496,16.2601626,30,31.29251701,42.52873563,36,30.55555556,22.22222222,38.27160494,29.33333333,45,38.66666667,30.1369863,31.94444444,30.65693431,33.33333333,43.29896907,39.05325444,18.04511278,55.68181818,45.63106796,40,32.78688525,44.69273743,16.92307692,15.26717557,9.259259259,36.36363636,7.339449541,37.17948718,12.17391304,15.51724138,41.89189189,30.43478261,27.06766917,53.19148936,36.36363636,10.71428571,23.4375,11.00917431,31.20567376,23.07692308,22.76422764,30.66666667,36.60130719,15.51724138,26.25,16.2601626,27.77777778,25.3968254,57.14285714,30.88235294,56.66666667,14.28571429,12.17391304,25.95419847,28.36879433,26.27737226,19.6969697,27.3381295,54.02298851,16.39344262,50,22.55639098,20.3125,31.08108108,10.08403361,12.61261261,,,,,
M21,32.72727273,47.42268041,23.33333333,30.76923077,42.99065421,38.7755102,45.23809524,19.8019802,38.35616438,38.35616438,31.16883117,48.93617021,39.6039604,43.75,30.76923077,48.97959184,42.5,48.27586207,44.23076923,26.31578947,36.53846154,42,51.02040816,52.74725275,37.20930233,25.67567568,32.5203252,25.28735632,27.69230769,33.75,23.85321101,35.03649635,19.54887218,47.61904762,30.58823529,12.90322581,46.2962963,19.04761905,52.72727273,40.57971014,40,35.29411765,32.60869565,45.97701149,25.35211268,41.2371134,18.18181818,31.70731707,28.57142857,48.42105263,42.85714286,41.55844156,44.23076923,56.07476636,40,26.31578947,54.54545455,36.73469388,27.5,22.37762238,42.22222222,25.37313433,39.39393939,34.7826087,44.70588235,44.21052632,54.94505495,34.88372093,34.40860215,26.5625,23.68421053,26.76056338,39.08045977,51.2195122,45.09803922,32.87671233,33.84615385,27.53623188,,,,
P14,19.04761905,25.35211268,12.76595745,12.58741259,22.22222222,27.77777778,41.37931034,10.66666667,46.80851064,25.53191489,27.45098039,29.41176471,29.33333333,21.56862745,30.76923077,25,40.74074074,28.88888889,25.64102564,22.72727273,25.64102564,29.72972973,36.11111111,30.76923077,16.66666667,9.836065574,20.6185567,32.78688525,19.23076923,14.92537313,16.86746988,12.61261261,14.95327103,31.03448276,40.6779661,33.33333333,24.3902439,43.24324324,30.95238095,74.41860465,36.36363636,28.94736842,30.3030303,42.62295082,15.51724138,30.98591549,40,35.71428571,43.24324324,37.68115942,37.93103448,35.29411765,33.33333333,32.09876543,50,13.63636364,50.98039216,30.55555556,48.14814815,10.25641026,28.125,12.96296296,50,41.86046512,37.28813559,26.08695652,24.61538462,30,41.79104478,19.60784314,44,22.4137931,36.06557377,46.42857143,28.94736842,51.06382979,46.15384615,12.5,30.3030303,,,
M9,29.26829268,47.27272727,28.57142857,23.07692308,46.66666667,52.25225225,35.05154639,26.31578947,32.55813953,18.60465116,35.55555556,33.64485981,52.63157895,38.29787234,42.73504274,37.83783784,25.80645161,41.86046512,30.76923077,36.22047244,32.47863248,40.7079646,41.44144144,36.53846154,14.14141414,32.29813665,47.05882353,50,32.16783217,35.83815029,39.3442623,30.66666667,34.24657534,35.05154639,59.18367347,26.66666667,41.32231405,36.84210526,47.15447154,39.02439024,24.09638554,41.73913043,49.52380952,56,33.5483871,49.09090909,40.50632911,42.10526316,28.94736842,38.88888889,49.48453608,40,42.73504274,35,48.19277108,39.37007874,42.22222222,45.04504505,58.06451613,35.8974359,58.25242718,32.65306122,32.91139241,41.46341463,30.6122449,50,36.53846154,48.48484848,45.28301887,35.46099291,51.68539326,36.12903226,68,42.10526316,57.39130435,37.20930233,30.76923077,30.46357616,30.47619048,32.91139241,,
M12,42.73504274,46.15384615,26.77165354,31.81818182,42.10526316,41.9047619,43.95604396,22.22222222,35,35,30.95238095,47.52475248,31.48148148,53.33333333,36.03603604,38.0952381,39.08045977,58.53658537,36.03603604,39.66942149,46.84684685,39.25233645,55.23809524,42.85714286,30.10752688,29.67741935,35.38461538,29.78723404,36.49635036,35.92814371,36.20689655,36.11111111,27.14285714,35.16483516,41.30434783,14.49275362,45.2173913,20,47.86324786,42.10526316,36.36363636,45.87155963,44.44444444,51.06382979,33.55704698,42.30769231,21.91780822,31.46067416,25.71428571,56.8627451,43.95604396,30.95238095,48.64864865,42.10526316,31.16883117,33.05785124,40.47619048,34.28571429,39.08045977,32,45.36082474,34.04255319,38.35616438,31.57894737,45.65217391,47.05882353,42.85714286,34.40860215,48,41.48148148,31.3253012,36.24161074,55.31914894,42.69662921,47.70642202,35,30.55555556,38.62068966,52.52525253,35.61643836,44.64285714,
