"","estimate","Fval","Pval"
"(Intercept)",37.236003030506,NA,NA
"het_imp_3",24.3409486347126,5.01883878223095,0.0258659589984602
"het_imp_14",5.7612243113461,7.47148305786883,0.00667193857868745
"het_imp_33",-4.955983725562,5.33920903686414,0.0215856058536794
"het_imp_47",5.38810171155924,6.63054890675868,0.0105437305658603
"het_imp_53",-4.94532444045776,3.89899339508245,0.0493080964513971
"het_imp_58",-4.39554642460484,4.22311790179001,0.0408145105756558
"het_imp_66",-21.47033015206,3.8756940592889,0.0499869177304933
"het_imp_75",8.54030923965571,6.2228620755758,0.0131939637168144
"het_imp_79",4.29635755257841,4.19779674629334,0.0414186758069924
"het_imp_95",-7.53337579163552,5.78499314692792,0.0168195537132351
