,M33,M43,M23,M36,M37,M5,P10,M2,P25,M17,P26,M10,P9,M31,M48,P35,P17,P31,P36,P29,P19,P27,P6,M35,M6,P45,M40,P15,P33,P39,P48,M45,M29,M18,M44,P2,P38,M15,P12,P20,M7,P24,P43,P41,P16,P37,M4,P3,P8,M30,M26,P7,M39,P21,P4,M28,P18,P47,P5,P46,M27,M46,M20,M47,M16,P30,M38,P40,P28,M24,M3,M19,P44,M25,M41,M14,M8,P23,M21,P14,M9,M12
M29,11.16599113,11.224247,9.011203331,13.44992231,28.45786759,25.26724545,5.645452422,10.57052162,16.90270721,11.90679756,23.27975166,8.806163689,23.40175681,3.479338585,22.22474077,19.95338054,18.3171911,10.2727879,4.828561264,44.75190905,15.24899744,28.33872801,14.40973262,17.62464428,13.75841728,21.94531029,16.89165925,38.74509391,24.0985039,36.11587483,45.20256301,27.17127822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,22.79670306,21.26917012,9.909713667,8.63742481,41.89469934,25.68649057,40.68079041,5.324245809,59.5203507,22.02200494,28.73606622,18.39757984,24.60783255,32.07327851,21.39318576,57.17539254,27.45192322,31.74944483,34.77969093,23.10763394,18.70731258,40.63016401,29.72930016,67.55185364,9.221404726,20.19148656,15.06558844,34.95315143,22.27855687,27.62714495,13.31743722,37.51972386,18.67599028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M44,9.15757769,29.04977193,0.146406823,0.106273539,45.65394534,29.35913318,26.13609457,0.154940549,41.58687131,0.174719848,38.33839753,5.479901857,23.97069215,22.71432181,10.82413965,31.52245505,15.34219933,17.85693716,10.74313026,30.20714808,0.189168765,29.22867151,20.11782411,29.91420221,0.13181467,19.35148192,17.9951452,52.9271601,13.03308231,16.95768645,26.31536716,29.59555051,36.54090366,30.34393036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,4.253646322,0.20965854,17.37407751,0.114899395,3.07968675,11.26185454,17.48834727,0.173983413,0.228963506,0.199320947,10.78603236,0.24845535,0.153205112,0.14319456,4.277537325,0.162877594,0.198301557,0.134277304,26.76461546,16.44627934,17.64844502,4.862978368,0.239885526,0.184419163,18.92237126,0.232936843,0.105691816,0.203416193,20.04950589,0.187507042,0.223602072,3.50275483,0.172239367,6.855567371,0.241587233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38,28.28799747,14.42391753,16.90390668,12.86224066,22.24701452,12.43099276,32.06241564,24.55456453,45.41268353,23.09473893,14.44334102,19.42145993,17.62302063,45.46404492,27.02633581,66.82021654,38.06505361,49.90931747,41.32323744,4.972506939,25.05240336,29.82029134,42.37483619,61.50407237,14.49404338,34.71510096,11.43382582,27.85669,35.68942298,41.69877329,19.1893913,44.83598125,10.90824562,58.0080363,13.85764479,0.156962134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,0.229988413,12.44886702,0.15785669,0.112179847,29.75949269,22.46139617,0.232541163,0.167822814,24.88430454,0.191276812,24.09002434,0.236079617,19.63132903,2.554387933,0.154229413,18.69544563,0.190337848,0.130577861,0.115824666,27.44136065,0.208730704,20.23625087,0.228328951,15.31284398,0.14102411,0.222024855,10.8203614,29.38303501,0.139494973,0.180371143,12.94508693,17.35716144,28.17463199,18.57219191,33.57054976,0.274433605,0.151930557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,28.25134234,32.02543296,15.15775517,21.56285553,17.6801521,20.92441338,22.50574902,19.80345608,39.11907291,33.64786712,22.79703357,30.11324826,19.3901203,61.68435123,22.8726695,51.14395127,29.8741154,58.44278187,33.24628236,8.583014437,22.97926779,47.96009445,43.42941357,42.69366756,27.01949196,26.49710803,10.66977419,26.73533942,28.79170336,38.14801897,21.32006305,44.18735182,9.158181934,36.91249051,20.52097703,0.128115978,55.13249664,0.124743983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,14.67883968,12.53289571,0.142854211,9.104787578,10.76322958,0.209492656,21.42087922,0.150967339,23.81650935,31.174577,0.162724602,16.13220806,9.847078122,15.98965647,2.746108399,33.62864358,41.5449013,31.13390379,23.40848867,15.2607487,13.48751559,9.85449434,19.39401199,36.38097341,6.288681554,12.35709467,2.787450552,13.81217304,28.16799819,23.8120399,21.87036275,17.92681261,24.43791145,27.73007181,11.27149497,0.232064194,32.35627786,0.221231911,24.53894889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,24.51967596,10.41632432,11.54664183,9.18818569,12.48623431,12.74695735,29.11471103,21.78439081,29.30265907,24.46162963,14.73483047,16.26715184,31.21149809,25.80525566,2.272039194,38.72190122,33.26034284,36.40097377,40.36346107,6.733896762,16.5918548,26.66841547,42.02093105,39.89436744,23.12625231,20.51102178,13.01804795,5.942384508,29.40018536,29.47517892,12.29619975,29.66579998,7.420224838,28.06952125,6.81614754,31.45708011,38.15863192,0.166338544,42.43409273,30.2581631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24,21.38927191,14.43021539,17.25514818,7.947326953,9.399980546,11.32668496,12.32643081,23.39812212,8.88773183,14.16387629,27.82909248,10.05915968,0.108953406,21.47761357,41.16714848,32.61123803,33.03906953,39.49954608,17.75117149,22.99783052,20.67717385,16.19306156,16.28670937,13.94359387,11.08097283,25.17810763,5.568858368,29.51004602,42.71212812,23.17698769,36.33490873,23.79843035,26.27165877,11.65706477,14.71023874,0.164367832,35.35302584,0.158858593,27.11189339,19.7927118,7.380480702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P43,17.74268997,35.28778864,8.304831147,1.61020921,37.16382922,33.95392121,14.7362063,6.86999254,32.43932633,0.198092302,46.4765491,9.524504342,21.75730347,15.28537279,10.29903923,29.3951724,7.823791653,23.20565845,7.182472465,21.24647103,8.335766224,44.81084877,24.14966,33.26068282,26.52658852,23.23255039,15.14588012,45.85439382,15.34307852,19.29059125,20.39761879,32.49112843,17.39244192,21.01576941,34.21449859,0.288684009,9.484363093,22.57662862,31.92213533,0.230400408,20.42213934,15.66620242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P41,19.78581848,33.25870127,1.904129374,10.50996577,60.33158169,27.30066198,33.85588856,0.162752473,55.58377492,18.63324055,41.01564465,34.62026122,32.94697964,22.25080718,9.641866933,42.84421364,25.43914051,18.9538286,18.40400774,28.2204782,11.27500594,43.37499292,28.28508271,50.22283979,6.70320949,27.04363575,21.3948412,53.11353343,12.19720875,32.11824924,11.27321715,44.33928086,31.08034479,46.75862225,44.87974463,0.261130487,30.58486545,37.53867809,23.13582898,22.2667549,22.32764917,5.337908356,40.14036951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,38.42204208,14.18728352,18.77211133,15.14731429,18.22129117,20.63536266,15.67670959,22.25274681,14.38287263,7.144452917,18.09995015,20.91172831,9.132331759,28.2254709,34.73156748,33.58301018,22.07868413,42.58792273,20.69562442,28.57193053,33.47229736,28.28038718,24.8990454,26.77046882,25.41956767,34.69083341,14.28800931,34.26660162,57.92176815,51.94867206,58.037219,29.88125894,38.36549344,21.80635353,21.19785335,0.174750592,39.10882656,0.168536514,40.03898638,26.5581091,27.85331401,45.86735779,29.91211764,17.42388606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37,13.49214811,28.93098323,17.23194099,6.130665172,45.16487466,28.00065039,4.733698864,16.81460422,24.34565704,6.216987125,39.48026233,8.287597385,35.22753077,17.37894236,10.99933386,34.72483473,6.191802346,34.62609931,9.80324719,30.34591706,13.01861549,50.26972822,20.70935458,33.51822082,37.20002024,22.47094752,19.78977085,46.62599012,25.87159938,21.16715189,12.67356906,34.40086632,33.2611161,23.81562322,33.82465482,0.210234771,17.6821951,34.12587449,37.39664309,14.224767,22.02484286,17.45642571,62.91275173,45.15314287,30.34096241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,0.209767435,11.48256906,0.148060433,0.107142136,27.49931321,20.38190845,15.15334471,0.156793769,22.79732201,0.177080026,31.84282308,0.214822855,18.48170205,0.131343295,0.144864833,17.53793792,0.176274978,0.123802136,25.54909981,31.48361446,0.19193854,19.16511336,0.208386074,14.25243138,0.133153574,0.203122426,10.37095439,27.16247546,3.564525518,3.338699855,0.195987715,19.36539613,23.70509744,25.61102314,30.6203538,43.3030661,0.14283483,35.69633629,0.118545806,0.20245855,27.35832368,0.148941496,20.26532979,34.01060178,1.54499402,28.32264813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
