,M33,M43,M23,M36,M37,M5,P10,M2,P25,M17,P26,M10,P9,M31,M48,P35,P17,P31,P36,P29,P19,P27,P6,M35,M6,P45,M40,P15,P33,P39,P48,M45,M29,M18,M44,P2,P38,M15,P12,P20,M7,P24,P43,P41,P16,P37,M4,P3,P8,M30,M26,P7,M39,P21,P4,M28,P18,P47,P5,P46,M27,M46,M20,M47,M16,P30,M38,P40,P28,M24,M3,M19,P44,M25,M41,M14,M8,P23,M21,P14,M9,M12
M33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M43,39.76640909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,45.12089984,29.46459136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M36,32.710334,32.56403527,22.82571975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,39.57795451,64.96602916,28.70308327,31.78899512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,41.31484323,67.86053108,31.32725911,36.09045733,65.61798997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,42.95266281,58.9898149,23.75693673,31.34621546,51.06312943,56.25252097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,36.4933396,16.30589485,54.17809137,16.62514183,28.26586083,23.87086298,17.28585675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25,46.65598036,45.59278858,27.16596939,25.85779386,44.91097083,48.18824294,57.57007007,17.25171505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,38.47848736,47.43064373,24.89795434,38.167121,40.1627503,41.70578401,49.52803683,12.40760162,44.38786478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26,30.11569208,45.58854032,26.49515784,17.11647882,52.04711878,58.99710542,44.0405238,21.17601691,45.5474437,32.07468649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,43.41518011,55.71821452,25.49771409,51.9098847,49.47123225,63.52596735,50.07489733,11.39299822,47.21298433,50.09678646,37.4639306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9,28.79788621,38.96653213,30.94304792,24.05588923,49.81227628,44.17369948,36.9637469,38.68809002,38.01855613,26.00673743,41.76825637,30.30387326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,40.13818698,60.079535,37.02386791,40.74951441,49.32422825,50.8703241,59.23728677,25.00496353,45.513184,56.48985874,32.87252883,51.02876087,36.35413553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,45.33602308,37.11551014,30.47201816,21.45627114,40.08592708,38.79512092,32.94913588,37.79293171,35.39716882,20.67816783,39.69377424,24.47609271,31.48752684,29.48382673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,40.76154696,38.50597793,30.30466249,30.05600615,39.27687956,36.56358385,43.11449092,30.92640856,47.71595418,36.93074878,29.84643215,34.19268264,45.65633479,55.24895149,32.95902407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,44.86029117,39.95710217,24.99706594,41.03309104,38.98128712,40.50788344,47.6736315,22.88156757,44.48287338,57.80006044,27.3223177,46.65740437,33.60149258,45.45609905,29.10441947,46.14612348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,48.63114424,47.5560574,32.97410504,33.77680637,43.22964647,40.30830232,53.43196258,25.58942578,48.52970959,46.91726775,26.98198151,43.59782407,39.52806442,73.33378792,32.69913955,58.65230074,44.94934858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36,47.26206309,37.2407795,30.01341188,27.4113777,37.01477671,39.60140319,52.70819504,22.19934443,51.74186129,40.54429747,29.29592858,40.43819853,35.39504568,54.31837671,26.53426562,62.64092865,44.51345176,61.76919081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,41.12659485,25.3983321,32.74415667,24.01673292,38.34362235,32.53976227,23.11073375,35.95650048,26.95484551,16.50500369,38.77338756,22.29165879,36.57803227,26.01842404,57.56194002,29.74920317,22.99560711,31.1691109,24.58047906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,61.18489583,39.16665982,42.68185679,28.24448023,34.82261698,42.67908925,46.70392817,33.91283371,40.29094789,37.53733559,25.58627262,40.42208698,27.00563117,44.41253474,46.53022088,38.8283582,41.32318802,50.52587096,46.56986245,41.82100156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27,31.78017054,47.81451925,27.3012043,27.31952949,58.92759536,47.29896061,41.07987962,28.6229171,37.04950904,30.0522666,40.61449986,35.07659398,49.38568303,43.30823781,36.59787312,36.70033019,39.17665629,41.05317547,30.04772576,36.11110936,34.80728063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,47.19001875,57.36934955,29.95414151,34.71279409,48.48228625,51.58231444,64.42383622,21.08550063,53.83064657,47.85070394,36.35735136,52.52828254,42.33300075,57.24114296,33.72331909,48.22887715,49.4791426,60.19040703,51.7670624,30.45820531,55.1136073,47.2831354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,41.1896207,41.63171791,28.98499578,30.23922864,42.03579688,40.38739436,54.07039188,28.35747892,52.4165541,38.47953712,30.35123459,37.04067243,44.61398205,49.75280153,29.78016948,66.57312551,49.19648342,52.05358468,56.53061336,25.74664834,41.87898272,48.96980675,53.37600671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,37.27971864,29.79841247,48.61162192,17.83553035,23.48022516,23.24743769,25.92409187,33.76379784,27.81647459,21.12563599,20.77462915,20.9699691,37.08127466,28.84451732,35.28020043,34.30801341,29.67575319,31.65816323,29.66546868,31.21207156,42.5602892,38.69095363,34.87069904,47.39661355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P45,32.95985273,24.6722357,21.89505766,23.63043739,33.43565788,29.43727987,22.86999465,22.17736298,19.1756301,17.74690802,23.60156027,26.41772201,26.26314415,24.46463971,20.23353985,19.80856167,20.12692836,24.810359,23.78527899,25.10040877,27.47886991,23.95608114,25.3454683,20.18182361,12.59980871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M40,30.85143159,32.85623796,20.02553345,31.92500424,45.63885649,42.07890558,28.78670008,29.73303558,31.13207362,20.97092758,37.60227357,30.16286436,41.01315623,25.53118138,38.36677796,31.05911282,27.44476168,25.7032353,23.27138532,38.43165404,28.24144654,35.47435884,30.80932826,31.97328712,21.0270123,24.88586578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,25.38342694,35.0461743,17.54172291,14.94105765,43.97792574,36.76894781,35.27904606,21.26237486,37.79988402,17.81622336,45.11379464,23.3659657,47.96677781,25.73990575,42.94693467,35.76123116,25.75562394,31.93148599,27.20167661,48.49763234,26.13422389,47.5096971,34.1467508,43.22079807,36.17292008,17.06496198,36.76448301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33,52.32105555,26.51459652,38.70892461,27.62335406,27.790646,27.36718632,30.84574022,40.15861227,35.30271001,22.39294197,25.31987704,24.39972704,33.48225128,36.08675143,47.38821011,52.2245023,33.94707855,42.6008079,39.47069071,47.41889431,51.96701402,24.65805649,35.44660548,39.68770821,37.40562911,23.9171924,34.39121018,34.04079091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39,56.21393596,36.84584071,28.42360238,38.77515339,34.59981047,38.5455949,46.84142016,20.12442425,45.72750311,33.7301647,28.6681389,43.29330079,30.65988213,46.05499773,38.02514166,40.72189308,35.08792636,54.04534612,48.8630235,38.26887856,49.88891571,25.80102072,52.10236249,41.55422253,27.306959,32.67194578,30.18391555,28.12130327,46.0563112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48,42.37098799,31.67628689,22.72969069,21.21319578,32.87365698,36.0149443,26.75833353,26.93826533,28.74074502,17.45341184,33.10089979,23.90225463,30.27326235,22.09592393,59.79802747,26.89504688,25.55607977,27.28952995,23.92954251,60.19596358,36.55324933,27.44456314,29.71409314,24.70048947,27.95232651,26.82968781,35.63554565,41.80721857,44.95865933,45.55386129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M45,30.24458049,35.91438301,20.19721085,25.86540886,40.04359611,40.86088105,28.29539181,20.40602842,29.15677483,27.7523629,29.45692205,35.53791551,26.9813547,38.85962482,19.13576934,32.53700474,24.63277126,35.7595925,32.68792842,23.09399687,28.60135002,35.53080616,32.27677222,30.85451892,14.34627668,46.60208,21.16470566,16.63435002,25.24009469,34.74128186,19.36595723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M29,36.71353108,28.07574011,20.73563815,21.74685807,38.31529335,36.73403162,24.12592986,27.48055204,27.54960669,15.45443322,39.61506256,22.3264562,36.24471953,19.05112703,53.47130279,25.8424135,22.94166667,22.30891437,19.9197357,69.19068115,32.27148631,33.24868653,27.13492104,24.8128179,24.16757717,26.3921575,37.79250472,46.9642685,43.8391412,44.87712096,69.61154065,22.294023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,33.92456877,41.97056291,27.13346115,24.26818881,41.16997214,38.48245746,50.14227108,23.77078861,52.64494239,36.38969774,39.16983195,33.27456178,44.95618439,48.56936832,33.33189594,64.0534445,41.91335344,43.28592627,49.95058313,23.97472509,30.66227094,44.44969659,49.26590372,60.42167893,33.78811837,14.67046305,30.13244877,37.75031044,37.83347166,32.59826479,23.22056565,24.1177194,22.25551242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M44,34.90922341,46.23203328,17.68889353,23.54190134,48.27705372,47.47583314,42.02598181,20.50665587,40.13228561,29.27015461,44.50664247,38.1025319,49.36755391,36.25872587,44.20183936,46.74350272,37.11206396,39.20760811,35.30043264,44.38826245,26.44133896,38.13597691,41.44825829,41.66829242,21.29861865,25.05877999,38.37130593,56.98572577,36.93422905,34.12338862,47.68740822,29.38639142,45.92325192,45.00830664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,25.87288067,26.28586362,17.67134544,12.59016257,31.42688529,39.66699648,33.99618275,26.29854711,25.77138252,11.08249409,41.64666681,18.97825662,31.90277324,16.801693,40.70107641,24.13233584,20.84723091,16.60032773,26.30415981,44.66995339,23.42053065,29.55691472,19.22290946,20.95411157,22.9190094,17.74840725,31.78606981,35.69152112,29.46110574,24.81137908,39.29276761,16.7428095,46.37777545,27.56345319,39.67608145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38,42.38289714,37.85469997,34.28186901,29.92499197,34.81931813,32.46101433,40.77099236,30.61273105,42.66292325,35.44392217,27.07772592,33.5310695,45.25608824,57.35238204,38.64093802,70.87779299,44.32676843,59.15164712,56.50920699,34.43976256,43.35561375,37.67239938,49.61276055,57.14055934,35.91123123,22.11802055,30.76618828,33.87894741,52.21894618,42.01127727,32.16124846,31.54787827,28.27806184,56.89150479,41.45814904,21.55672597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
