,M44,M16,M7,M6,M39,M30,M48,M41,M12,M35,M18,M23,M31,M25,M20,M17,M4,M40,M29,M15,M21,M8,M37,M5,M14,M24,M26,M27,M28,M3,M2,M45,M9,M19,M46,M36,M47,M33,M10,M43,M38
M2,0.0685,0.1172,-0.0112,0.2659,0.293,0.2425,0.1076,0.1498,0.1468,0.0882,0.1186,0.1514,0.0391,0.1961,0.1517,0.1395,-0.0254,0.2557,0.0396,0.0275,0.1574,0.2123,0.0948,0.1861,0.0916,-0.0436,0.0872,-0.0231,0.0414,0.0706,,,,,,,,,,,
M45,0.0587,0.174,0.1002,0.2232,0.1617,0.2574,0.0913,0.2863,0.2624,0.2284,0.1296,0.1546,0.1821,0.2524,0.0542,0.1559,0.0724,0.112,0.0543,0.1426,0.1623,0.3099,0.1551,0.317,0.2033,0.1846,0.1023,0.2114,0.0103,0.0492,0.1167,,,,,,,,,,
M9,0.0003,0.0617,0.0792,0.2136,0.2015,0.2126,0.2975,0.0725,0.1358,0.2212,0.0053,0.1416,0.0233,0.2123,0.2089,0.1378,0.1146,0.0327,0.0825,0.2117,0.0446,0.162,0.0785,0.2141,0.0997,0.1702,-0.014,0.2004,0.1739,0.1374,0.1432,0.2746,,,,,,,,,
M19,0.2128,0.0915,0.1655,0.1127,0.128,0.1125,-0.0529,-0.0237,-0.0187,0.2621,0.0091,0.1601,0.2294,0.2315,0.324,0.3228,0.2485,0.1927,0.2145,0.058,-0.0235,0.0758,0.2147,0.2378,0.076,0.1435,0.1707,0.0906,0.1465,0.0368,0.0259,0.0913,0.0943,,,,,,,,
M46,0.0274,0.1607,0.1329,0.0667,0.1303,0.1483,0.1452,0.1606,0.0336,0.1034,0.136,0.1748,0.1643,0.1561,-0.0272,-0.0443,0.0951,0.1296,0.122,0.0851,0.0764,0.1362,0.1716,0.1175,0.0356,0.2019,0.1023,-0.1659,0.0853,0.1603,0.1933,0.0709,0.1743,0.0835,,,,,,,
M36,0.1745,0.0583,0.0352,0.1219,0.1008,0.0719,0.102,-0.0028,-0.0235,-0.0525,0.1353,-0.0717,-0.0067,0.2045,-0.0138,0.2345,0.0553,0.1342,0.141,0.0196,0.1565,-0.0031,0.1037,0.2036,-0.1063,0.0626,0.2212,0.1018,0.1282,0.0174,0.1185,0.0615,0.0665,0.1924,0.0693,,,,,,
M47,0.0872,-0.0146,0.0597,0.1094,0.2598,0.0273,0.1083,0.0875,-0.0465,0.0923,0.2335,0.1163,0.1434,0.0291,-0.0243,0.1212,0.083,0.165,0.0932,0.0119,0.1624,0.0658,0.0902,0.0446,0.0122,0.0801,0.2131,0.0358,0.1854,0.1045,0.0607,-0.0152,0.0505,0.0992,0.0785,0.2088,,,,,
M33,0.1912,0.2489,0.0731,0.0776,0.1208,0.131,0.1393,0.026,0.2313,0.2101,0.0024,0.0911,0.1042,0.0534,0.1415,0.0589,0.0634,0.0259,0.0994,0.1287,0.0529,0.1076,0.1106,0.1739,0.0832,0.0848,0.0168,0.1235,0.1523,0.0839,0.1997,0.0865,0.2112,0.0058,0.2422,0.0206,0.0919,,,,
M10,0.2164,0.177,0.1821,0.1647,0.0918,0.0964,0.1161,0.0564,-0.0267,0.114,0.1233,0.3288,0.0884,0.1363,0.1356,0.1752,0.2195,0.1534,0.0636,0.1992,0.1872,0.0988,0.2364,0.1062,-0.0228,0.1912,0.1808,0.241,0.1615,0.1319,0.0928,0.1873,0.0355,0.0995,-0.0313,0.1622,0.1135,-0.0728,,,
M43,0.2982,0.1694,0.0679,0.2456,0.2743,0.1042,0.0019,0.2482,0.0133,0.3013,0.2771,0.0889,0.2311,0.1939,0.0187,0.1385,0.1424,0.2713,0.1426,0.1885,0.269,0.0602,0.0302,0.0723,0.3133,0.0499,0.0638,0.1881,0.1332,0.1786,0.1903,0.1024,0.0998,0.1071,0.0705,0.0301,0.315,0.3055,0.1818,,
M38,0.2788,0.1402,0.0196,0.1288,0.1458,0.1243,0.2257,0.1792,0.2203,0.1796,0.1411,-0.0022,-0.0345,0.1471,0.1036,0.1658,0.2255,0.1414,0.0351,0.0915,0.0229,0.1026,0.1345,0.1548,0.2362,0.0498,0.2967,0.1523,0.1952,0.0828,0.125,0.2191,0.1032,0.0855,-0.0383,0.1804,0.1673,0.0369,0.0678,0.1379,
