Ind1,Ind2,QG
P15,P43,0.0787
P15,M44,0.1487
P15,P44,0.0603
P15,M45,0.1552
P15,P45,0.2240
P15,M46,0.0638
P15,P46,0.2023
P15,M47,0.1164
P15,P47,0.1101
P15,M48,0.1835
P15,P48,0.2594
P15,M6,0.1474
P15,P6,0.0580
P15,M7,0.1689
P15,P7,0.1739
P15,M8,0.1075
P15,P8,-0.0520
P15,M10,0.1520
P15,P10,0.1041
P15,M12,0.0525
P15,P12,0.1458
P15,M14,0.1392
P15,P14,0.1712
P15,M16,0.2328
P15,P16,0.1803
P15,M17,0.3068
P15,P17,0.0818
P15,M18,0.2538
P15,P18,0.1076
P15,M20,0.0008
P15,P20,0.0185
P15,M21,0.1929
P15,P21,0.1944
P15,M23,0.2382
P15,P23,0.1990
P15,M24,0.2353
P15,P24,0.2340
P15,M25,0.1975
P15,P25,0.1220
P15,M30,0.2621
P15,P30,0.1892
P15,M31,0.1517
P15,P31,0.0476
P15,M33,0.1439
P15,P33,0.1359
P15,M35,0.0589
P15,P35,-0.0194
M19,P19,0.6555
M19,M26,0.2050
M19,P26,0.2771
M19,M27,0.1231
M19,P27,-0.1003
M19,M28,0.0767
M19,P28,0.1480
M19,M29,0.1571
M19,P29,0.1900
M19,M37,0.1858
M19,P37,0.1515
M19,M40,0.1898
M19,P40,0.3088
M19,M41,-0.0304
M19,P41,0.0963
M19,M43,0.1160
M19,P43,0.1503
M19,M44,0.2158
M19,P44,0.1995
M19,M45,0.0856
M19,P45,0.1400
M19,M46,0.1027
M19,P46,0.0953
M19,M47,0.1229
M19,P47,0.0362
M19,M48,-0.0464
M19,P48,-0.0610
M19,M6,0.0892
M19,P6,0.1410
M19,M7,0.1741
M19,P7,0.1672
M19,M8,0.1495
M19,P8,0.1437
M19,M10,0.1116
M19,P10,0.0668
M19,M12,-0.0458
M19,P12,0.0983
M19,M14,0.1178
M19,P14,0.0290
M19,M16,0.1749
M19,P16,0.0655
M19,M17,0.2997
M19,P17,0.1969
M19,M18,0.0355
M19,P18,0.0577
M19,M20,0.2018
M19,P20,0.1435
M19,M21,-0.0469
M19,P21,0.0189
M19,M23,0.0790
M19,P23,0.0645
M19,M24,0.1061
M19,P24,0.1018
M19,M25,0.3086
M19,P25,0.2375
M19,M30,0.1713
M19,P30,0.1612
M19,M31,0.1741
M19,P31,0.1421
M19,M33,-0.0387
M19,P33,0.1157
M19,M35,0.2618
M19,P35,0.1779
P19,M26,0.0693
P19,P26,0.1363
P19,M27,0.1160
P19,P27,-0.0157
P19,M28,0.1406
P19,P28,0.1384
P19,M29,0.0481
P19,P29,0.0582
P19,M37,0.2864
P19,P37,0.1744
P19,M40,0.1488
P19,P40,0.2766
P19,M41,0.0528
P19,P41,0.0718
P19,M43,0.1965
P19,P43,0.2445
P19,M44,0.1518
P19,P44,0.1202
P19,M45,0.0623
P19,P45,0.1045
P19,M46,0.1640
P19,P46,0.0867
P19,M47,0.1630
P19,P47,0.0624
P19,M48,0.1043
P19,P48,0.0820
P19,M6,0.2296
P19,P6,0.0960
P19,M7,0.2229
P19,P7,0.1145
P19,M8,0.0913
P19,P8,0.0782
P19,M10,0.0720
P19,P10,0.1295
P19,M12,-0.0951
P19,P12,-0.0091
P19,M14,0.0086
P19,P14,0.0811
P19,M16,0.1735
P19,P16,0.1179
P19,M17,0.3245
P19,P17,0.1344
P19,M18,0.0539
P19,P18,0.0385
P19,M20,0.1270
P19,P20,0.0648
P19,M21,-0.0181
P19,P21,0.0577
P19,M23,0.2385
P19,P23,0.1244
P19,M24,0.0675
P19,P24,-0.0067
P19,M25,0.2776
P19,P25,0.2859
P19,M30,0.1468
P19,P30,0.2376
P19,M31,0.1874
P19,P31,0.1478
P19,M33,0.0974
P19,P33,0.1768
P19,M35,0.0890
P19,P35,0.1149
M26,P26,0.5637
M26,M27,0.1268
M26,P27,0.0463
M26,M28,0.0015
M26,P28,0.1588
M26,M29,0.1016
M26,P29,0.0610
M26,M37,0.1206
M26,P37,0.1738
M26,M40,0.0962
M26,P40,0.0373
M26,M41,0.1597
M26,P41,0.0757
M26,M43,0.1037
M26,P43,0.0204
M26,M44,0.0060
M26,P44,0.0931
M26,M45,0.0864
M26,P45,0.1349
M26,M46,0.0778
M26,P46,0.1414
M26,M47,0.1476
M26,P47,0.1913
M26,M48,0.0316
M26,P48,0.1320
M26,M6,0.0654
M26,P6,0.0415
M26,M7,0.0709
M26,P7,0.0381
M26,M8,0.0808
M26,P8,0.1420
M26,M10,0.1947
M26,P10,0.1434
M26,M12,0.0372
M26,P12,0.0873
M26,M14,0.1243
M26,P14,0.0149
M26,M16,0.2181
M26,P16,0.2635
M26,M17,0.1287
M26,P17,-0.0311
M26,M18,0.0844
M26,P18,-0.0149
M26,M20,0.0941
M26,P20,0.0044
M26,M21,0.0864
M26,P21,0.0058
M26,M23,0.0432
M26,P23,0.0917
M26,M24,0.0328
M26,P24,0.0916
M26,M25,0.1822
M26,P25,0.4417
M26,M30,0.0938
M26,P30,0.0103
M26,M31,0.1599
M26,P31,0.0537
M26,M33,0.0306
M26,P33,-0.0427
M26,M35,0.2393
M26,P35,0.1409
P26,M27,0.0784
P26,P27,0.0606
P26,M28,0.0299
P26,P28,0.1112
P26,M29,0.0789
P26,P29,0.1472
P26,M37,0.1771
P26,P37,0.2672
P26,M40,0.1167
P26,P40,0.1473
P26,M41,0.1880
P26,P41,0.2284
P26,M43,0.0996
P26,P43,-0.0242
P26,M44,-0.0025
P26,P44,0.0132
P26,M45,0.2367
P26,P45,0.1686
P26,M46,0.0896
P26,P46,0.1860
P26,M47,0.1644
P26,P47,0.1661
P26,M48,0.1052
P26,P48,0.0995
P26,M6,-0.0227
P26,P6,0.0499
P26,M7,0.2435
P26,P7,0.2415
P26,M8,0.1895
P26,P8,0.1678
P26,M10,0.0710
P26,P10,0.1049
P26,M12,0.1283
P26,P12,0.0325
P26,M14,0.2133
P26,P14,0.0902
P26,M16,0.1779
P26,P16,0.2899
P26,M17,0.0240
P26,P17,0.0668
P26,M18,0.1222
P26,P18,0.0085
P26,M20,0.0971
P26,P20,-0.0244
P26,M21,0.0872
P26,P21,0.0926
P26,M23,0.1627
P26,P23,0.1325
P26,M24,0.0821
P26,P24,0.0828
P26,M25,0.2097
P26,P25,0.2838
P26,M30,0.1231
P26,P30,0.0297
P26,M31,0.1246
P26,P31,0.1122
P26,M33,-0.0068
P26,P33,0.0748
P26,M35,0.3458
P26,P35,0.3499
M27,P27,0.4818
M27,M28,0.0122
M27,P28,0.1123
M27,M29,0.0083
M27,P29,0.0949
M27,M37,0.1017
M27,P37,0.1699
M27,M40,0.0910
M27,P40,0.0492
M27,M41,0.0136
M27,P41,0.0745
M27,M43,0.1858
M27,P43,0.0741
M27,M44,0.1694
M27,P44,0.2871
M27,M45,0.2197
M27,P45,-0.0133
M27,M46,-0.1091
M27,P46,0.0050
M27,M47,-0.0084
M27,P47,0.0304
M27,M48,0.1184
M27,P48,0.1292
M27,M6,0.1347
M27,P6,0.1777
M27,M7,0.0776
M27,P7,-0.0331
M27,M8,0.1512
M27,P8,0.1263
M27,M10,0.2578
M27,P10,0.2961
M27,M12,0.1819
M27,P12,0.0359
M27,M14,0.0593
M27,P14,0.0251
M27,M16,0.2080
M27,P16,0.1690
M27,M17,0.1482
M27,P17,0.0655
M27,M18,0.1066
M27,P18,-0.0175
M27,M20,0.2157
M27,P20,0.0985
M27,M21,0.2549
M27,P21,0.0989
M27,M23,0.2166
M27,P23,0.1330
M27,M24,0.2322
M27,P24,0.0903
M27,M25,0.2957
M27,P25,0.1639
M27,M30,0.0236
M27,P30,0.1097
M27,M31,0.0685
M27,P31,0.1144
M27,M33,0.0688
M27,P33,0.0930
M27,M35,0.1581
M27,P35,0.1874
P27,M28,0.0885
P27,P28,0.1368
P27,M29,0.0787
P27,P29,0.3538
P27,M37,0.1179
P27,P37,0.0821
P27,M40,0.1086
P27,P40,0.0774
P27,M41,0.1277
P27,P41,0.1528
P27,M43,0.0956
P27,P43,0.0982
P27,M44,0.2296
P27,P44,0.2051
P27,M45,0.2343
P27,P45,0.1398
P27,M46,-0.0292
P27,P46,0.0668
P27,M47,0.0725
P27,P47,0.0627
P27,M48,0.0777
P27,P48,0.0829
P27,M6,0.0005
P27,P6,-0.0147
P27,M7,0.0218
P27,P7,0.0207
P27,M8,0.1386
P27,P8,0.1018
P27,M10,0.0687
P27,P10,-0.0116
P27,M12,0.2634
P27,P12,0.1603
P27,M14,-0.0675
P27,P14,0.0230
P27,M16,0.1589
P27,P16,0.2010
P27,M17,-0.0644
P27,P17,0.0640
P27,M18,0.1327
P27,P18,0.0751
P27,M20,0.0733
P27,P20,0.0587
P27,M21,0.1675
P27,P21,0.1076
P27,M23,0.1625
P27,P23,0.0521
P27,M24,0.0807
P27,P24,0.0582
P27,M25,0.1997
P27,P25,0.1836
P27,M30,0.0308
P27,P30,-0.0819
P27,M31,0.1150
P27,P31,0.2329
P27,M33,0.0550
P27,P33,0.0380
P27,M35,-0.0082
P27,P35,0.0754
M28,P28,0.5880
M28,M29,0.0643
M28,P29,0.0351
M28,M37,0.0265
M28,P37,0.0164
M28,M40,0.0791
M28,P40,0.1832
M28,M41,0.0793
M28,P41,0.0595
M28,M43,0.1083
M28,P43,0.2340
M28,M44,0.0611
M28,P44,0.0789
M28,M45,0.0201
M28,P45,-0.0076
M28,M46,0.0868
M28,P46,0.2113
M28,M47,0.1792
M28,P47,-0.0108
M28,M48,0.1003
M28,P48,0.1984
M28,M6,0.0869
M28,P6,0.1431
M28,M7,0.1201
M28,P7,0.0723
M28,M8,0.0776
M28,P8,0.1018
M28,M10,0.1603
M28,P10,0.1042
M28,M12,0.1419
M28,P12,0.0680
M28,M14,0.0384
M28,P14,0.0992
M28,M16,0.1390
M28,P16,0.1454
M28,M17,0.2163
M28,P17,0.1358
M28,M18,0.3007
M28,P18,0.2698
M28,M20,0.1389
M28,P20,0.1426
M28,M21,0.1836
M28,P21,0.2837
M28,M23,0.1125
M28,P23,0.0590
M28,M24,0.0924
M28,P24,0.1183
M28,M25,0.1082
M28,P25,0.0314
M28,M30,0.0396
M28,P30,0.0658
M28,M31,0.2048
M28,P31,0.1946
M28,M33,0.1796
M28,P33,0.0933
M28,M35,0.1387
M28,P35,0.1792
P28,M29,0.1431
P28,P29,0.0795
P28,M37,0.1419
P28,P37,0.0144
P28,M40,0.1057
P28,P40,0.0883
P28,M41,0.1193
P28,P41,0.1717
P28,M43,0.1672
P28,P43,0.1281
P28,M44,0.1214
P28,P44,0.1582
P28,M45,0.0799
P28,P45,0.1051
P28,M46,0.0902
P28,P46,0.2202
P28,M47,0.1332
P28,P47,0.0827
P28,M48,0.1066
P28,P48,0.2221
P28,M6,0.1179
P28,P6,0.1087
P28,M7,0.0432
P28,P7,0.0720
P28,M8,0.3082
P28,P8,0.1921
P28,M10,0.1265
P28,P10,0.1371
P28,M12,0.0928
P28,P12,-0.0222
P28,M14,-0.0047
P28,P14,0.0461
P28,M16,0.1329
P28,P16,0.1289
P28,M17,0.1443
P28,P17,0.0537
P28,M18,0.1914
P28,P18,0.1500
P28,M20,0.1908
P28,P20,0.3114
P28,M21,0.1470
P28,P21,0.2101
P28,M23,0.1081
P28,P23,0.0645
P28,M24,0.0758
P28,P24,0.1335
P28,M25,0.2433
P28,P25,0.0904
P28,M30,0.2189
P28,P30,0.2164
P28,M31,0.2150
P28,P31,0.1389
P28,M33,0.1700
P28,P33,0.2282
P28,M35,0.1518
P28,P35,0.1332
M29,P29,0.5055
M29,M37,0.1132
M29,P37,0.0664
M29,M40,0.1950
M29,P40,0.1645
M29,M41,0.0894
M29,P41,0.1648
M29,M43,0.1760
M29,P43,0.1355
M29,M44,0.0824
M29,P44,0.0062
M29,M45,0.0499
M29,P45,0.1652
M29,M46,0.0912
M29,P46,0.1806
M29,M47,0.2025
M29,P47,0.1667
M29,M48,0.0547
M29,P48,0.0644
M29,M6,0.2097
M29,P6,0.1686
M29,M7,0.1861
M29,P7,0.3158
M29,M8,0.2392
M29,P8,0.2089
M29,M10,0.0483
M29,P10,0.0314
M29,M12,0.2624
M29,P12,0.1999
M29,M14,0.1241
M29,P14,0.1108
M29,M16,0.0786
M29,P16,0.0716
M29,M17,0.0003
M29,P17,-0.0633
M29,M18,0.0656
M29,P18,0.0234
M29,M20,0.1310
M29,P20,0.1800
M29,M21,0.1268
M29,P21,0.0987
M29,M23,0.0019
M29,P23,0.1149
M29,M24,0.0849
M29,P24,0.0811
M29,M25,0.0863
M29,P25,0.0221
M29,M30,0.1202
M29,P30,0.0861
M29,M31,0.1692
M29,P31,0.1126
M29,M33,0.1172
M29,P33,0.1107
M29,M35,0.0760
M29,P35,0.0461
P29,M37,0.1250
P29,P37,0.0972
P29,M40,0.1099
P29,P40,0.1429
P29,M41,0.1717
P29,P41,0.1711
P29,M43,0.1229
P29,P43,0.0670
P29,M44,-0.0062
P29,P44,0.1252
P29,M45,0.1664
P29,P45,0.0557
P29,M46,0.0447
P29,P46,0.0907
P29,M47,0.2115
P29,P47,0.1979
P29,M48,0.1431
P29,P48,0.1326
P29,M6,0.1778
P29,P6,0.1457
P29,M7,0.0859
P29,P7,0.1554
P29,M8,0.1572
P29,P8,0.1666
P29,M10,0.0463
P29,P10,0.1155
P29,M12,0.1981
P29,P12,0.2556
P29,M14,-0.0447
P29,P14,0.0849
P29,M16,0.1539
P29,P16,0.1456
P29,M17,0.0137
P29,P17,0.0501
P29,M18,0.1334
P29,P18,0.1045
P29,M20,0.1401
P29,P20,0.0157
P29,M21,0.0840
P29,P21,0.1659
P29,M23,0.0526
P29,P23,0.1457
P29,M24,0.1306
P29,P24,-0.0161
P29,M25,0.2413
P29,P25,0.1124
P29,M30,0.0495
P29,P30,-0.0084
P29,M31,0.2247
P29,P31,0.2505
P29,M33,0.0283
P29,P33,-0.0576
P29,M35,0.1114
P29,P35,0.1054
M37,P37,0.5146
M37,M40,0.1933
M37,P40,0.1661
M37,M41,0.0815
M37,P41,0.1333
M37,M43,0.0763
M37,P43,0.1769
M37,M44,0.0469
M37,P44,0.1877
M37,M45,0.1808
M37,P45,0.2449
M37,M46,0.1840
M37,P46,0.3486
M37,M47,0.0660
M37,P47,0.1369
M37,M48,0.1634
M37,P48,0.1632
M37,M6,0.0381
M37,P6,0.1216
M37,M7,0.1411
M37,P7,0.0871
M37,M8,0.2714
M37,P8,0.2655
M37,M10,0.1950
M37,P10,0.1337
M37,M12,-0.0220
M37,P12,0.1007
M37,M14,-0.0255
M37,P14,0.1531
M37,M16,0.2181
M37,P16,0.2890
M37,M17,0.1878
M37,P17,0.1037
M37,M18,0.0909
M37,P18,0.1877
M37,M20,0.1183
M37,P20,0.0824
M37,M21,0.0067
M37,P21,0.0902
M37,M23,0.1872
M37,P23,0.1231
M37,M24,0.0046
M37,P24,-0.0931
M37,M25,0.1662
M37,P25,0.2092
M37,M30,0.0293
M37,P30,0.0180
M37,M31,0.1356
M37,P31,0.0454
M37,M33,0.1472
M37,P33,0.1757
M37,M35,-0.0344
M37,P35,0.0173
P37,M40,0.0704
P37,P40,0.0539
P37,M41,-0.0598
P37,P41,0.0819
P37,M43,0.0593
P37,P43,0.0621
P37,M44,0.0450
P37,P44,0.2385
P37,M45,0.1830
P37,P45,0.1325
P37,M46,0.3071
P37,P46,0.2621
P37,M47,0.1200
P37,P47,0.0034
P37,M48,0.2878
P37,P48,0.2102
P37,M6,0.0967
P37,P6,0.1072
P37,M7,0.2312
P37,P7,0.1065
P37,M8,0.1797
P37,P8,0.1461
P37,M10,0.2929
P37,P10,0.2566
P37,M12,-0.0053
P37,P12,0.1377
P37,M14,0.2157
P37,P14,0.0440
P37,M16,0.2069
P37,P16,0.2716
P37,M17,0.1293
P37,P17,0.0629
P37,M18,0.0940
P37,P18,0.1827
P37,M20,0.0855
P37,P20,0.0885
P37,M21,0.2491
P37,P21,0.1626
P37,M23,0.2192
P37,P23,0.2691
P37,M24,0.1649
P37,P24,0.0817
P37,M25,0.1282
P37,P25,0.1511
P37,M30,-0.0863
P37,P30,-0.0286
P37,M31,0.0511
P37,P31,0.0698
P37,M33,0.1091
P37,P33,0.2456
P37,M35,0.0675
P37,P35,0.1573
M40,P40,0.5329
M40,M41,0.1436
M40,P41,0.1085
M40,M43,0.3013
M40,P43,0.0368
M40,M44,0.0150
M40,P44,0.0349
M40,M45,0.1349
M40,P45,0.1372
M40,M46,0.1070
M40,P46,0.0868
M40,M47,0.2091
M40,P47,0.2140
M40,M48,0.0660
M40,P48,0.1965
M40,M6,0.1326
M40,P6,0.0463
M40,M7,0.0177
M40,P7,0.0573
M40,M8,0.1494
M40,P8,0.0168
M40,M10,0.1138
M40,P10,0.1063
M40,M12,0.2159
M40,P12,0.0732
M40,M14,0.1517
M40,P14,0.1446
M40,M16,0.1558
M40,P16,0.1207
M40,M17,0.1908
M40,P17,0.1072
M40,M18,0.1609
M40,P18,0.0520
M40,M20,0.2157
M40,P20,0.2477
M40,M21,0.1609
M40,P21,0.0561
M40,M23,-0.0286
M40,P23,0.1112
M40,M24,0.0253
M40,P24,0.1093
M40,M25,0.1378
M40,P25,0.2230
M40,M30,0.2108
M40,P30,0.2649
M40,M31,0.0287
M40,P31,0.0060
M40,M33,-0.0146
M40,P33,0.0154
M40,M35,0.0250
M40,P35,-0.0072
P40,M41,0.1595
P40,P41,0.0863
P40,M43,0.2208
P40,P43,0.1580
P40,M44,0.0858
P40,P44,-0.0756
P40,M45,0.1390
P40,P45,0.2330
P40,M46,0.0845
P40,P46,0.1610
P40,M47,0.1929
P40,P47,0.1933
P40,M48,0.1541
P40,P48,0.0834
P40,M6,0.1779
P40,P6,0.1200
P40,M7,0.1535
P40,P7,0.0848
P40,M8,0.1794
P40,P8,0.0398
P40,M10,0.0862
P40,P10,0.1296
P40,M12,0.1773
P40,P12,0.0842
P40,M14,0.1736
P40,P14,0.1634
P40,M16,0.2493
P40,P16,0.1395
P40,M17,0.0623
P40,P17,0.1058
P40,M18,0.0953
P40,P18,0.2051
P40,M20,0.1434
P40,P20,0.1148
P40,M21,0.2400
P40,P21,0.1584
P40,M23,0.0810
P40,P23,0.0737
P40,M24,0.1298
P40,P24,0.1409
P40,M25,0.1520
P40,P25,0.2245
P40,M30,0.1620
P40,P30,0.2575
P40,M31,0.0790
P40,P31,0.0958
P40,M33,0.1652
P40,P33,0.0719
P40,M35,0.1149
P40,P35,0.0939
M41,P41,0.6688
M41,M43,0.2357
M41,P43,0.1524
M41,M44,0.0267
M41,P44,-0.0410
M41,M45,0.2962
M41,P45,0.3047
M41,M46,0.1467
M41,P46,0.0269
M41,M47,0.0831
M41,P47,0.2455
M41,M48,0.0493
M41,P48,0.1361
M41,M6,0.1002
M41,P6,-0.0186
M41,M7,0.1459
M41,P7,0.0264
M41,M8,0.2066
M41,P8,-0.0384
M41,M10,0.0481
M41,P10,0.0909
M41,M12,0.1551
M41,P12,0.2555
M41,M14,0.0660
M41,P14,0.0686
M41,M16,0.2409
M41,P16,0.2492
M41,M17,-0.0052
M41,P17,0.1222
M41,M18,0.3086
M41,P18,0.3748
M41,M20,0.0561
M41,P20,0.1076
M41,M21,0.1894
M41,P21,0.1913
M41,M23,0.1296
M41,P23,-0.0005
M41,M24,0.1044
M41,P24,0.1856
M41,M25,0.2202
M41,P25,0.3117
M41,M30,0.2450
M41,P30,0.2940
M41,M31,0.1590
M41,P31,0.2408
M41,M33,-0.0101
M41,P33,0.0388
M41,M35,0.0847
M41,P35,0.0560
P41,M43,0.2039
P41,P43,0.1943
P41,M44,0.1376
P41,P44,0.0283
P41,M45,0.3524
P41,P45,0.2614
P41,M46,0.0260
P41,P46,-0.0052
P41,M47,0.1402
P41,P47,0.0743
P41,M48,-0.0252
P41,P48,0.1075
P41,M6,-0.0265
P41,P6,0.0241
P41,M7,0.1086
P41,P7,0.1679
P41,M8,0.1968
P41,P8,0.0335
P41,M10,0.0693
P41,P10,0.0744
P41,M12,0.2993
P41,P12,0.1682
P41,M14,0.0638
P41,P14,0.0973
P41,M16,0.2411
P41,P16,0.2757
P41,M17,-0.0025
P41,P17,0.1289
P41,M18,0.3601
P41,P18,0.2270
P41,M20,0.0402
P41,P20,0.1413
P41,M21,0.0052
P41,P21,0.1492
P41,M23,0.1420
P41,P23,-0.0020
P41,M24,0.1316
P41,P24,0.1691
P41,M25,0.1868
P41,P25,0.3483
P41,M30,0.2345
P41,P30,0.1180
P41,M31,0.1210
P41,P31,0.1460
P41,M33,0.0773
P41,P33,0.0073
P41,M35,0.1006
P41,P35,0.1176
M43,P43,0.2215
M43,M44,0.2542
M43,P44,0.1123
M43,M45,0.1435
M43,P45,0.1389
M43,M46,0.0965
M43,P46,0.1236
M43,M47,0.3235
M43,P47,0.2776
M43,M48,0.0006
M43,P48,0.0785
M43,M6,0.2198
M43,P6,0.0107
M43,M7,0.1397
M43,P7,0.0836
M43,M8,0.1118
M43,P8,0.0836
M43,M10,0.1461
M43,P10,0.2369
M43,M12,-0.0163
M43,P12,0.0753
M43,M14,0.2982
M43,P14,0.2327
M43,M16,0.1792
M43,P16,0.2004
M43,M17,0.1104
M43,P17,0.1227
M43,M18,0.3265
M43,P18,0.1208
M43,M20,0.0588
M43,P20,0.1916
M43,M21,0.3323
M43,P21,0.2019
M43,M23,0.0636
M43,P23,0.1518
M43,M24,0.0994
M43,P24,0.1590
M43,M25,0.2021
M43,P25,0.1324
M43,M30,0.2056
M43,P30,0.2284
M43,M31,0.2640
M43,P31,0.1844
M43,M33,0.2341
M43,P33,0.3132
M43,M35,0.2564
M43,P35,0.2060
P43,M44,0.1396
P43,P44,-0.0413
P43,M45,0.1776
P43,P45,0.2000
P43,M46,0.0684
P43,P46,0.1222
P43,M47,0.0587
P43,P47,0.1097
P43,M48,0.0362
P43,P48,0.0255
P43,M6,0.0249
P43,P6,0.1822
P43,M7,0.1452
P43,P7,0.0816
P43,M8,0.3189
P43,P8,0.1811
P43,M10,0.0588
P43,P10,0.0698
P43,M12,0.2028
P43,P12,0.1032
P43,M14,0.0681
P43,P14,0.1263
P43,M16,0.2460
P43,P16,0.1413
P43,M17,0.2314
P43,P17,0.0466
P43,M18,-0.0283
P43,P18,0.0432
P43,M20,-0.0201
P43,P20,0.0217
P43,M21,0.1958
P43,P21,0.0859
P43,M23,0.0386
P43,P23,0.0873
P43,M24,0.1290
P43,P24,0.0533
P43,M25,0.2030
P43,P25,0.2155
P43,M30,0.0849
P43,P30,0.2309
P43,M31,0.1115
P43,P31,0.1048
P43,M33,0.2808
P43,P33,0.1974
P43,M35,0.1103
P43,P35,-0.0187
M44,P44,0.5021
M44,M45,0.0310
M44,P45,0.1176
M44,M46,-0.0108
M44,P46,0.0916
M44,M47,0.0865
M44,P47,0.1485
M44,M48,0.0908
M44,P48,0.0920
M44,M6,0.1617
M44,P6,0.2100
M44,M7,0.0076
M44,P7,-0.0594
M44,M8,-0.0653
M44,P8,-0.1049
M44,M10,0.2254
M44,P10,0.1678
M44,M12,-0.0256
M44,P12,0.1802
M44,M14,0.0720
M44,P14,0.1437
M44,M16,0.0516
M44,P16,0.1407
M44,M17,0.1479
M44,P17,0.1452
M44,M18,0.1743
M44,P18,0.0927
M44,M20,-0.0491
M44,P20,0.0690
M44,M21,0.2772
M44,P21,0.2053
M44,M23,-0.0205
M44,P23,-0.0261
M44,M24,0.1029
M44,P24,0.2131
M44,M25,-0.0662
M44,P25,0.1877
M44,M30,0.1187
M44,P30,0.0694
M44,M31,0.0083
M44,P31,0.0277
M44,M33,0.1775
M44,P33,0.2146
M44,M35,0.2254
M44,P35,0.2894
P44,M45,0.1226
P44,P45,0.0640
P44,M46,0.0240
P44,P46,0.0811
P44,M47,0.0319
P44,P47,0.0121
P44,M48,0.1450
P44,P48,0.1966
P44,M6,0.1052
P44,P6,0.1078
P44,M7,0.0646
P44,P7,-0.0010
P44,M8,0.0186
P44,P8,0.0168
P44,M10,0.2072
P44,P10,0.2070
P44,M12,0.0682
P44,P12,0.1252
P44,M14,-0.0107
P44,P14,0.1284
P44,M16,0.1602
P44,P16,0.2301
P44,M17,0.1349
P44,P17,0.1944
P44,M18,0.1612
P44,P18,0.1236
P44,M20,0.0586
P44,P20,0.0948
P44,M21,0.1169
P44,P21,0.2413
P44,M23,0.0963
P44,P23,0.1837
P44,M24,0.1330
P44,P24,0.2385
P44,M25,0.0797
P44,P25,0.1267
P44,M30,0.0788
P44,P30,0.1068
P44,M31,-0.0008
P44,P31,0.0548
P44,M33,0.0695
P44,P33,0.2068
P44,M35,0.2058
P44,P35,0.2751
M45,P45,0.6918
M45,M46,0.0854
M45,P46,0.1598
M45,M47,-0.0076
M45,P47,0.0350
M45,M48,0.1013
M45,P48,0.1777
M45,M6,0.1245
M45,P6,0.0032
M45,M7,0.0534
M45,P7,0.1572
M45,M8,0.2206
M45,P8,0.0258
M45,M10,0.1861
M45,P10,0.0742
M45,M12,0.2433
M45,P12,0.0839
M45,M14,0.1546
M45,P14,0.1468
M45,M16,0.1262
M45,P16,0.1867
M45,M17,0.1345
M45,P17,0.2830
M45,M18,0.1864
M45,P18,0.1719
M45,M20,0.0491
M45,P20,0.1220
M45,M21,0.0999
M45,P21,0.1892
M45,M23,0.3067
M45,P23,0.1439
M45,M24,0.2520
M45,P24,0.1712
M45,M25,0.2035
M45,P25,0.3341
M45,M30,0.3042
M45,P30,0.1517
M45,M31,0.1218
M45,P31,0.2094
M45,M33,0.1717
M45,P33,0.1746
M45,M35,0.1957
M45,P35,0.2201
P45,M46,0.1051
P45,P46,0.1808
P45,M47,-0.0019
P45,P47,0.1397
P45,M48,0.1487
P45,P48,0.1001
P45,M6,0.0122
P45,P6,0.0264
P45,M7,-0.0039
P45,P7,0.0091
P45,M8,0.2918
P45,P8,0.0961
P45,M10,0.2102
P45,P10,0.1005
P45,M12,0.1438
P45,P12,0.2564
P45,M14,0.1921
P45,P14,0.2286
P45,M16,0.1760
P45,P16,0.2771
P45,M17,0.0963
P45,P17,0.1158
P45,M18,0.2494
P45,P18,0.3068
P45,M20,0.0285
P45,P20,0.1534
P45,M21,0.1661
P45,P21,0.2375
P45,M23,0.1412
P45,P23,0.0822
P45,M24,0.2107
P45,P24,0.2298
P45,M25,0.2270
P45,P25,0.2947
P45,M30,0.3236
P45,P30,0.2400
P45,M31,0.0879
P45,P31,0.1044
P45,M33,0.0709
P45,P33,0.1719
P45,M35,0.1078
P45,P35,0.1319
M46,P46,0.4758
M46,M47,0.0860
M46,P47,0.0448
M46,M48,0.1970
M46,P48,0.1618
M46,M6,0.1117
M46,P6,0.1640
M46,M7,0.0889
M46,P7,0.1191
M46,M8,0.1274
M46,P8,0.0568
M46,M10,-0.0086
M46,P10,0.1013
M46,M12,0.0320
M46,P12,0.1492
M46,M14,0.0430
M46,P14,0.0924
M46,M16,0.1395
M46,P16,0.0497
M46,M17,-0.0533
M46,P17,0.0824
M46,M18,0.1434
M46,P18,0.1662
M46,M20,-0.0742
M46,P20,0.0087
M46,M21,0.0813
M46,P21,0.1669
M46,M23,0.1846
M46,P23,0.1586
M46,M24,0.2285
M46,P24,0.1704
M46,M25,0.1135
M46,P25,0.1633
M46,M30,0.1342
M46,P30,0.0646
M46,M31,0.1376
M46,P31,0.1170
M46,M33,0.1331
M46,P33,0.0913
M46,M35,0.1125
M46,P35,0.1156
P46,M47,0.1502
P46,P47,0.1933
P46,M48,0.1689
P46,P48,0.1770
P46,M6,0.0824
P46,P6,0.1953
P46,M7,0.0260
P46,P7,0.0382
P46,M8,0.2553
P46,P8,0.2502
P46,M10,0.1828
P46,P10,0.1699
P46,M12,0.1592
P46,P12,0.1725
P46,M14,0.0777
P46,P14,0.1281
P46,M16,0.1898
P46,P16,0.1097
P46,M17,0.0665
P46,P17,0.0484
