Ind1,Ind2,QG
P38,P8,0.1627
P38,M10,0.1344
P38,P10,-0.0817
P38,M12,0.0883
P38,P12,0.1157
P38,M14,0.0244
P38,P14,0.1308
P38,M16,0.1698
P38,P16,0.2738
P38,M17,0.1967
P38,P17,0.1379
P38,M18,0.1168
P38,P18,0.0666
P38,M20,0.0479
P38,P20,-0.0104
P38,M21,0.0418
P38,P21,0.0718
P38,M23,0.0553
P38,P23,0.1025
P38,M24,0.0720
P38,P24,0.0899
P38,M25,0.2726
P38,P25,0.3049
P38,M30,0.2562
P38,P30,0.0861
P38,M31,0.0479
P38,P31,0.0391
P38,M33,0.1664
P38,P33,0.2613
P38,M35,0.1077
P38,P35,0.1922
M39,P39,0.6287
M39,M2,0.3010
M39,P2,0.1377
M39,M3,0.0408
M39,P3,0.1648
M39,M4,0.1214
M39,P4,0.1598
M39,M5,0.0587
M39,P5,0.0733
M39,M9,0.1563
M39,P9,0.0912
M39,M15,0.0072
M39,P15,0.1502
M39,M19,0.1421
M39,P19,0.1524
M39,M26,0.1215
M39,P26,0.1357
M39,M27,0.0361
M39,P27,0.0415
M39,M28,0.0379
M39,P28,0.0951
M39,M29,0.1446
M39,P29,0.1703
M39,M37,0.1057
M39,P37,0.2641
M39,M40,0.3220
M39,P40,0.2864
M39,M41,-0.0023
M39,P41,0.0528
M39,M43,0.3212
M39,P43,0.0878
M39,M44,0.0263
M39,P44,0.0911
M39,M45,0.1317
M39,P45,0.1258
M39,M46,0.1679
M39,P46,0.1909
M39,M47,0.2243
M39,P47,0.1904
M39,M48,0.2600
M39,P48,0.1860
M39,M6,0.0013
M39,P6,0.0415
M39,M7,0.1164
M39,P7,0.2103
M39,M8,0.1756
M39,P8,0.0767
M39,M10,0.1507
M39,P10,0.2398
M39,M12,0.2124
M39,P12,0.1205
M39,M14,0.4275
M39,P14,0.2850
M39,M16,0.0646
M39,P16,0.1170
M39,M17,0.1715
M39,P17,0.1769
M39,M18,0.1285
M39,P18,0.0352
M39,M20,0.0794
M39,P20,0.0904
M39,M21,0.1896
M39,P21,0.2363
M39,M23,0.0883
M39,P23,0.1408
M39,M24,0.0220
M39,P24,0.0030
M39,M25,0.0965
M39,P25,0.1747
M39,M30,0.1110
M39,P30,0.0063
M39,M31,0.1079
M39,P31,0.1456
M39,M33,0.1915
M39,P33,0.2371
M39,M35,0.1409
M39,P35,0.0396
P39,M2,0.1852
P39,P2,0.0468
P39,M3,0.2188
P39,P3,0.2131
P39,M4,0.3126
P39,P4,0.2963
P39,M5,0.1555
P39,P5,0.1459
P39,M9,0.1496
P39,P9,0.1150
P39,M15,0.0058
P39,P15,0.1719
P39,M19,0.2632
P39,P19,0.2998
P39,M26,0.0893
P39,P26,0.1261
P39,M27,0.0746
P39,P27,0.0937
P39,M28,0.1761
P39,P28,0.1138
P39,M29,0.0760
P39,P29,0.1702
P39,M37,0.1591
P39,P37,0.1808
P39,M40,0.2026
P39,P40,0.2968
P39,M41,0.0120
P39,P41,0.0426
P39,M43,0.1420
P39,P43,0.2217
P39,M44,0.0194
P39,P44,0.1311
P39,M45,0.0575
P39,P45,0.1791
P39,M46,0.2737
P39,P46,0.2631
P39,M47,0.1857
P39,P47,0.1368
P39,M48,0.2580
P39,P48,0.2464
P39,M6,0.0216
P39,P6,0.0968
P39,M7,0.4092
P39,P7,0.1552
P39,M8,0.1430
P39,P8,0.1760
P39,M10,0.1540
P39,P10,0.1734
P39,M12,0.0781
P39,P12,0.0294
P39,M14,0.3612
P39,P14,0.2598
P39,M16,0.1061
P39,P16,0.0623
P39,M17,0.2126
P39,P17,0.0890
P39,M18,-0.1131
P39,P18,-0.0057
P39,M20,0.3019
P39,P20,0.0501
P39,M21,0.2986
P39,P21,0.2995
P39,M23,0.1816
P39,P23,0.1730
P39,M24,0.0901
P39,P24,0.1246
P39,M25,0.2126
P39,P25,0.1978
P39,M30,0.1544
P39,P30,0.1381
P39,M31,-0.0414
P39,P31,0.0958
P39,M33,0.1465
P39,P33,0.2350
P39,M35,0.2195
P39,P35,0.0424
M2,P2,0.5455
M2,M3,0.0542
M2,P3,0.0792
M2,M4,0.0594
M2,P4,-0.0274
M2,M5,0.1834
M2,P5,0.2214
M2,M9,0.1481
M2,P9,0.2281
M2,M15,-0.0034
M2,P15,0.0861
M2,M19,0.0528
M2,P19,0.1180
M2,M26,0.1061
M2,P26,0.0667
M2,M27,0.0092
M2,P27,0.0302
M2,M28,0.0595
M2,P28,0.1223
M2,M29,0.0405
M2,P29,0.1673
M2,M37,0.0898
M2,P37,0.0178
M2,M40,0.2687
M2,P40,0.1716
M2,M41,0.0954
M2,P41,0.1191
M2,M43,0.1699
M2,P43,0.1617
M2,M44,0.0510
M2,P44,0.0299
M2,M45,0.1177
M2,P45,0.1477
M2,M46,0.1448
M2,P46,0.0434
M2,M47,0.0917
M2,P47,0.1429
M2,M48,0.1094
M2,P48,0.1014
M2,M6,0.2224
M2,P6,0.1496
M2,M7,-0.0102
M2,P7,0.0310
M2,M8,0.2378
M2,P8,0.0632
