"","het","NumComps","F1","F2","F3","F4","F1F2"
"P30",0.9184,35,-0.466562273840694,-0.314748543062247,0.348767926767718,0.594106633891205,-0.781310816902941
"P31",1.1008,44,-0.155147150025625,-0.118942115521089,0.454087896186282,2.41421507881602,-0.274089265546714
"P33",1.0678,68,0.324567267018187,1.63711660733494,-1.4609710027642,1.96925884712987,1.96168387435313
"P35",1.045,38,-0.43418371892467,-0.571206100064227,0.52345094123164,1.99024274088839,-1.0053898189889
"P36",1.085,33,-0.463913699697053,-0.408272067651293,0.369719725372197,1.62917953405242,-0.872185767348347
"P37",1.0685,28,-0.415364210297502,-0.248412939875755,0.236505443273456,-1.06418158782218,-0.663777150173257
"P38",1.054,43,-0.246712495464587,0.101397728927639,0.59431583775246,1.92111840117906,-0.145314766536948
"P39",1.0119,90,1.96104727146144,-0.176039195839345,-1.54798004266336,1.04999320991295,1.7850080756221
"P4",0.93,14,-0.478629854516647,-0.470942041860362,0.407210547298366,-0.715697755919935,-0.949571896377008
"P40",0.992,22,-0.223665369075957,-0.274469309815534,0.417590839144936,-0.895602588980116,-0.49813467889149
"P41",0.992,25,-0.373592240241398,-0.569750975419822,0.284038547874733,-0.632584650641794,-0.94334321566122
"P43",0.9238,30,-0.283346427034893,-0.592336242206808,-0.447395782546159,-0.65310478221779,-0.875682669241701
"P44",1.054,27,-0.14645522646085,-0.344641936231061,0.367147091795783,-0.623543124123006,-0.491097162691911
"P45",0.93,79,1.70153021145663,2.05142564869343,0.25180864053307,-0.557146709246922,3.75295586015006
"P46",1.054,93,4.03022931125315,1.48469376695086,-0.692608160744244,-0.180486259987634,5.51492307820401
"P47",1.1119,36,-0.732048029389133,0.177296379063778,0.499531357205925,-0.574758578453991,-0.554751650325355
"P48",1.023,46,-0.176525998568721,-0.259646628557854,-1.82176324291844,-0.937757558841251,-0.436172627126575
"P5",0.93,20,-0.284286975637896,-0.519398235515088,0.132143649588659,-1.11849690574369,-0.803685211152984
"P6",1.147,30,-0.371220755219507,-0.688131150890162,0.40910578559934,0.923855818795563,-1.05935190610967
"P7",1.075,17,-0.464250985388576,-0.431813940851616,0.438921631185425,-0.343615989121527,-0.896064926240192
"P8",1.023,10,-0.575065999914117,-0.309665222299556,0.543945448791199,-0.639341567633313,-0.884731222213672
"P9",0.868,40,-0.78036025391951,0.862169591655415,0.942294380237294,-1.20539066356587,0.0818093377359049
