"","het","NumComps","F1","F2","F3","F4","F1F2"
"M10",0.868,31,0.146835646182976,-0.893880132664357,0.0494069411436718,0.405549106226103,-0.747044486481382
"M12",0.992,33,-0.0434589174505327,-0.465571744078196,0.198429571071618,0.615635884721279,-0.509030661528729
"M14",0.8911,12,-0.421247123332022,-0.726800976027569,0.273663605082308,-0.12163273600132,-1.14804809935959
"M15",0.961,7,-0.505547103039623,-0.592057830677707,0.384619868114516,-0.984024057362962,-1.09760493371733
"M16",0.9485,30,-0.410056311640574,-0.251758970793647,0.519402896976929,1.22868373242908,-0.661815282434221
"M17",0.9801,13,-0.0838197025693916,-0.670076872209863,0.139389267299937,-0.0325533629172988,-0.753896574779255
"M18",1.0513,23,-0.632046765932536,-0.535903666913865,0.437324840580137,0.492287823413836,-1.1679504328464
"M19",0.93,72,0.757881494685208,0.631041049601394,-5.25400227663116,0.283142476538191,1.3889225442866
"M2",1.1624,42,-0.770362400846277,3.9939023030999,0.323018962583318,-0.509839951021697,3.22353990225362
"M20",1.1066,10,-0.389874601306882,-0.636178509628054,0.356537090159784,-0.0501951381923523,-1.02605311093494
"M21",0.8589,28,-0.375872295691874,-0.562175065801772,0.496781858496013,0.631395873836583,-0.938047361493646
"M23",0.9885,57,-0.196216089150428,4.26993341581126,0.765091832171312,-0.281350179523257,4.07371732666083
"M24",1.054,64,0.681686667454657,1.57864473649598,-0.922688268289423,1.11836305828216,2.26033140395064
"M25",0.9389,21,-0.421503422036706,-0.52771992949246,0.414404391023098,0.428377237063055,-0.949223351529165
"M26",0.9485,24,-0.359437317597805,-0.428774903463792,0.0276819204725551,-0.910436173710398,-0.788212221061597
"M27",1.023,26,-0.439001171679745,-0.450867836059095,0.189839667621141,-0.914885022741028,-0.88986900773884
"M28",0.9768,42,-0.166458939529135,-0.496757717137083,-1.20872631698946,-1.35752093752735,-0.663216656666218
"M29",1.085,73,0.884154654657534,0.0828203194012783,-2.48876482450209,-1.03686081398819,0.966974974058812
"M3",1.116,14,-0.447526403763929,-0.466509316616348,0.406261212705664,-0.866968554361683,-0.914035720380278
"M30",1.0194,40,0.110574297856098,-0.353012877911103,0.376647442431061,1.02907390432043,-0.242438580055005
"M31",0.9519,56,-0.0723325843711861,0.200046646016844,0.320786816400845,1.91797043058165,0.127714061645658
"M33",1.023,42,0.142130252740528,0.387634541658972,-1.03313552956779,1.10794861530706,0.5297647943995
"M35",0.868,32,-0.491467118864144,-0.337236395087888,0.389361935795715,0.629732771493029,-0.828703513952032
"M36",1.1429,82,5.26832304911312,-0.659001120991571,-1.34690733862225,1.202283930401,4.60932192812155
"M37",1.023,35,-0.353206916586861,-0.323068706161116,0.138651973196799,-0.935218249351552,-0.676275622747977
"M38",1.023,38,-0.195884528447657,-0.555721023158588,0.405570501165388,2.13085978148805,-0.751605551606245
"M39",1.0045,48,0.205884845843007,-0.155106678322175,0.341022097551441,1.91823826659218,0.0507781675208322
"M4",1.023,13,-0.339361542306538,-0.525359369658534,0.0924346154651696,-1.00922888845585,-0.864720911965072
"M40",0.9327,53,1.97320430199416,0.0688552675079132,0.727307913748634,-1.08125615508081,2.04205956950208
"M41",1.023,40,-0.374469423931192,-0.253938723194649,0.165951495163517,-0.906425470423207,-0.628408147125841
"M43",0.7746,25,-0.302573319716661,-0.458097470762879,-0.0802589558421818,-0.467141355993047,-0.76067079047954
"M44",1.023,26,-0.153320088061348,-0.633548201632048,0.285209591694034,-0.593043343667655,-0.786868289693396
"M45",0.9238,61,0.401526750126944,0.196953123669051,-0.113423155858091,0.35738407113072,0.598479873795996
"M46",1.1795,72,3.26100110812708,1.45233450318537,0.343628342400273,-1.16432660789854,4.71333561131245
"M47",0.9136,12,-0.581483900333331,-0.528912230012276,0.285021792918771,-0.429936721009741,-1.11039613034561
"M48",1.1428,45,-0.201645807924601,0.431140563949417,0.0471314705931245,-0.559333305041847,0.229494756024816
"M5",0.93,27,-0.181319474444052,-0.595097735497976,0.176855563930118,-0.834492284944227,-0.776417209942028
"M6",1.085,33,-0.485717332106949,0.838071210281938,0.560157330473499,-0.161680832616857,0.352353878174989
"M7",0.8827,15,-0.40585105311097,-0.401825646161996,0.517196766273612,0.125377808481847,-0.807676699272966
"M8",0.899,9,-0.321900757312508,-0.685331959198558,0.380203840231383,-0.327736899144681,-1.00723271651107
"M9",0.9557,41,-0.492507238089036,0.416721988351119,0.551475191327935,-0.857431591184098,-0.0757852497379167
"P10",0.9837,20,-0.341078658570029,-0.45001272080021,0.347680452557978,0.0445230378026978,-0.791091379370239
"P12",0.9851,43,-0.461753876576517,-0.321494898031817,0.506624074022857,1.74298120425471,-0.783248774608334
"P14",0.9876,10,-0.241908864985384,-0.804967487929352,0.308196944575101,-0.262768932855089,-1.04687635291474
"P15",0.9557,21,-0.61728177023066,-0.342540758564016,0.293539826986605,-1.18138293189938,-0.959822528794676
"P16",0.8787,87,0.609948882369389,1.35973401672274,-4.50326429801792,0.73419728543958,1.96968289909213
"P17",1.085,17,-0.194328843583372,-0.721562526777676,0.213914890834565,0.542397824316169,-0.915891370361049
"P18",0.93,16,-0.426791468788335,-0.610905911555543,0.336253036902596,0.0886941897208908,-1.03769738034388
"P19",0.93,44,-0.107058937299561,0.332498606268521,-0.0325114760465101,0.798325203898671,0.22543966896896
"P2",0.9951,8,-0.338454474253664,-0.504844122416808,0.249220355629886,-1.18914550763806,-0.843298596670472
"P20",1.0117,11,-0.272257810742422,-0.652455539332859,0.184500558409403,-0.176102739399117,-0.924713350075282
"P21",0.9417,38,-0.457460996475791,0.042594575188802,0.489765622457893,0.472880343153644,-0.414866421286989
"P23",1.178,79,0.686855194579314,3.33154510661844,0.0446649406182508,0.217078485143672,4.01840030119775
"P24",1.0515,44,-0.136551337676407,0.407095064532514,-0.254525578771665,0.842897794571319,0.270543726856107
"P25",0.9992,18,-0.291676016614581,-0.624809381815886,0.233309934234536,0.00450493723105404,-0.916485398430467
"P26",1.0513,17,-0.394866241774434,-0.426628034898389,0.223093244929644,-1.06567697082265,-0.821494276672823
"P27",1.085,31,-0.492425606670449,-0.317615294138752,0.498619792610028,-0.692733697981488,-0.810040900809201
"P28",0.806,28,-0.296590123539078,-0.548259775614443,0.338647956298754,-0.665449317528556,-0.84484989915352
"P29",1.116,57,0.281698042519611,0.431732099623449,-0.0396340816678916,-0.773823483874908,0.71343014214306
"P3",0.961,20,-0.671792906866523,0.0274058462417669,0.673474405272932,-1.06044440604621,-0.644387060624756
